Calibration,Detector,Clock,Dataset,w,F1,ADD,Seed
IID,PHT + HT,1,SPY->PFF,500,1.0,16.0,1
IID,EDDM + HT,1,SPY->PFF,500,1.0,31.0,1
IID,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,1
IID,PHT + ARF,1,SPY->PFF,500,0.0,,1
IID,EDDM + ARF,1,SPY->PFF,500,0.0,,1
IID,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,1
IID,PHT + ARF,32,SPY->PFF,500,0.0,,1
IID,EDDM + ARF,32,SPY->PFF,500,0.0,,1
IID,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,1
IID,SRP + PHT,1,SPY->PFF,500,0.0,,1
IID,SRP + PHT,32,SPY->PFF,500,0.0,,1
IID,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,1
IID,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,1
IID,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,1
IID,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,1
Cal. A,PHT + HT,1,SPY->PFF,500,1.0,16.0,1
Cal. A,EDDM + HT,1,SPY->PFF,500,1.0,31.0,1
Cal. A,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,1
Cal. A,PHT + ARF,1,SPY->PFF,500,0.0,,1
Cal. A,EDDM + ARF,1,SPY->PFF,500,0.0,,1
Cal. A,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,1
Cal. A,PHT + ARF,32,SPY->PFF,500,0.0,,1
Cal. A,EDDM + ARF,32,SPY->PFF,500,0.0,,1
Cal. A,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,1
Cal. A,SRP + PHT,1,SPY->PFF,500,0.0,,1
Cal. A,SRP + PHT,32,SPY->PFF,500,0.0,,1
Cal. A,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,1
Cal. A,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,1
Cal. A,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,1
Cal. A,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,1
Cal. B,PHT + HT,1,SPY->PFF,500,1.0,17.0,1
Cal. B,EDDM + HT,1,SPY->PFF,500,1.0,33.0,1
Cal. B,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,1
Cal. B,PHT + ARF,1,SPY->PFF,500,0.0,,1
Cal. B,EDDM + ARF,1,SPY->PFF,500,0.0,,1
Cal. B,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,1
Cal. B,PHT + ARF,32,SPY->PFF,500,0.0,,1
Cal. B,EDDM + ARF,32,SPY->PFF,500,0.0,,1
Cal. B,ADWIN + ARF,32,SPY->PFF,500,1.0,31.0,1
Cal. B,SRP + PHT,1,SPY->PFF,500,0.0,,1
Cal. B,SRP + PHT,32,SPY->PFF,500,0.0,,1
Cal. B,KSWIN + ARF,1,SPY->PFF,500,1.0,14.0,1
Cal. B,KSWIN + ARF,32,SPY->PFF,500,1.0,14.0,1
Cal. B,PHT + RF (Static),1,SPY->PFF,500,1.0,16.0,1
Cal. B,ADWIN + RF (Static),1,SPY->PFF,500,1.0,9.0,1
IID,PHT + HT,1,SPY->PFF,500,1.0,16.0,2
IID,EDDM + HT,1,SPY->PFF,500,1.0,31.0,2
IID,ADWIN + HT,1,SPY->PFF,500,1.0,9.0,2
IID,PHT + ARF,1,SPY->PFF,500,0.0,,2
IID,EDDM + ARF,1,SPY->PFF,500,0.0,,2
IID,ADWIN + ARF,1,SPY->PFF,500,1.0,9.0,2
IID,PHT + ARF,32,SPY->PFF,500,0.0,,2
IID,EDDM + ARF,32,SPY->PFF,500,0.0,,2
