config,delta_e,miss_rate
A_mismatched,0.02818598889850832,0.99
A_mismatched,0.08544908596763101,0.89
A_mismatched,0.1409490130531429,0.4
A_mismatched,0.19362067040126762,0.27
A_mismatched,0.2425679484158294,0.33
A_mismatched,0.28710762863763484,0.45
A_mismatched,0.32679319917522065,0.52
A_mismatched,0.36141782928090127,0.59
A_mismatched,0.39099826948774896,0.56
A_mismatched,0.4157434766276884,0.51
A_mismatched,0.4360130458554846,0.53
A_mismatched,0.45227096287148516,0.58
A_mismatched,0.4650398261362503,0.62
A_mismatched,0.47485971364008916,0.66
A_mismatched,0.48225453560035814,0.72
A_mismatched,0.48770728898432447,0.7
A_mismatched,0.4916443387401259,0.69
A_mismatched,0.4944278491741648,0.69
A_mismatched,0.49635484908715,0.69
A_mismatched,0.4976611325094764,0.69
B_matched,0.02818598889850832,0.99
B_matched,0.08544908596763101,0.87
B_matched,0.1409490130531429,0.31
B_matched,0.19362067040126762,0.11
B_matched,0.2425679484158294,0.06
B_matched,0.28710762863763484,0.04
B_matched,0.32679319917522065,0.04
B_matched,0.36141782928090127,0.04
B_matched,0.39099826948774896,0.03
B_matched,0.4157434766276884,0.03
B_matched,0.4360130458554846,0.03
B_matched,0.45227096287148516,0.02
B_matched,0.4650398261362503,0.02
B_matched,0.47485971364008916,0.01
B_matched,0.48225453560035814,0.01
B_matched,0.48770728898432447,0.02
B_matched,0.4916443387401259,0.02
B_matched,0.4944278491741648,0.02
B_matched,0.49635484908715,0.02
B_matched,0.4976611325094764,0.02
C_decoupled,0.02818598889850832,1.0
C_decoupled,0.08544908596763101,0.85
C_decoupled,0.1409490130531429,0.26
C_decoupled,0.19362067040126762,0.09
C_decoupled,0.2425679484158294,0.07
C_decoupled,0.28710762863763484,0.05
C_decoupled,0.32679319917522065,0.04
C_decoupled,0.36141782928090127,0.04
C_decoupled,0.39099826948774896,0.03
C_decoupled,0.4157434766276884,0.04
C_decoupled,0.4360130458554846,0.03
C_decoupled,0.45227096287148516,0.03
C_decoupled,0.4650398261362503,0.03
C_decoupled,0.47485971364008916,0.03
C_decoupled,0.48225453560035814,0.03
C_decoupled,0.48770728898432447,0.03
C_decoupled,0.4916443387401259,0.03
C_decoupled,0.4944278491741648,0.03
C_decoupled,0.49635484908715,0.03
C_decoupled,0.4976611325094764,0.03
