seed,delta_e,tau_arf
2684470948,0.1,20
4091952314,0.1,564
233227757,0.1,1508
3276785861,0.1,15
3644269654,0.1,1291
1206282609,0.1,438
3543069911,0.1,55
3479688010,0.1,636
877132087,0.1,319
1244265337,0.1,875
2740186692,0.1,30
3884972972,0.1,35
829139639,0.1,310
2545567356,0.1,810
2718398101,0.1,389
176092387,0.1,193
3528048386,0.1,568
569531098,0.1,515
1337295874,0.1,575
612016888,0.1,67
232150720,0.1,897
2324106676,0.1,672
1658700540,0.1,284
609942288,0.1,447
3405943863,0.1,414
2257503667,0.1,255
4018327298,0.1,429
2224437599,0.1,154
168388230,0.1,1047
911875363,0.1,1819
3699796293,0.1,843
3195154224,0.1,1045
3621210587,0.1,347
1945778437,0.1,512
2384190687,0.1,806
3249086786,0.1,18
439485575,0.1,578
2217192537,0.1,134
3412522237,0.1,425
555567425,0.1,924
3399977417,0.1,22
2903099886,0.1,300
151712926,0.1,10
1207582415,0.1,81
2486821540,0.1,581
1259821421,0.1,1236
597594931,0.1,596
2865206418,0.1,430
3003750881,0.1,661
3312495928,0.1,702
3078168926,0.1,490
1005097259,0.1,290
1646080115,0.1,374
2175304393,0.1,2003
3907648593,0.1,601
1971688097,0.1,1040
268300483,0.1,1143
3139098279,0.1,397
3174456534,0.1,16
997026310,0.1,112
4280428995,0.1,107
345698675,0.1,1081
2296661869,0.1,983
1808063307,0.1,1079
3884888703,0.1,336
2494461129,0.1,1070
3862701690,0.1,240
1989052338,0.1,492
2910179760,0.1,529
1983180500,0.1,3
2796940620,0.1,1458
2835193311,0.1,26
1671370085,0.1,658
3953588250,0.1,958
358542842,0.1,538
3497188667,0.1,10
253549709,0.1,5
1953331372,0.1,594
890775398,0.1,301
642810498,0.1,618
1233062494,0.1,14
908446902,0.1,682
3109591194,0.1,141
2446198906,0.1,14
3358664237,0.1,964
896344283,0.1,1059
1869944201,0.1,532
3190319407,0.1,16
987968938,0.1,13
48960437,0.1,57
2405484524,0.1,634
3763400334,0.1,212
4209925572,0.1,396
4172993659,0.1,499
2147595062,0.1,2
3425188374,0.1,698
3309235867,0.1,888
3869940862,0.1,1334
3445858407,0.1,136
683688611,0.1,38
3671515462,0.1,1278
3027130951,0.1,1046
3369736057,0.1,647
1655287705,0.1,410
3004971955,0.1,950
1256815592,0.1,790
267482411,0.1,584
2210323869,0.1,176
3218958405,0.1,32
3163371865,0.1,417
1394697297,0.1,443
4178031102,0.1,328
643453088,0.1,45
3249835323,0.1,344
349764347,0.1,474
317791015,0.1,46
4067508317,0.1,1402
2385507088,0.1,832
