seed,delta_e,tau_arf
2684470948,0.1,158
4091952314,0.1,720
233227757,0.1,1131
3276785861,0.1,712
3644269654,0.1,31
1206282609,0.1,171
3543069911,0.1,1094
3479688010,0.1,258
877132087,0.1,387
1244265337,0.1,426
2740186692,0.1,820
3884972972,0.1,186
829139639,0.1,266
2545567356,0.1,468
2718398101,0.1,436
176092387,0.1,360
3528048386,0.1,355
569531098,0.1,713
1337295874,0.1,976
612016888,0.1,352
232150720,0.1,617
2324106676,0.1,203
1658700540,0.1,1342
609942288,0.1,122
3405943863,0.1,1054
2257503667,0.1,389
4018327298,0.1,607
2224437599,0.1,383
168388230,0.1,938
911875363,0.1,351
3699796293,0.1,658
3195154224,0.1,442
3621210587,0.1,19
1945778437,0.1,508
2384190687,0.1,968
3249086786,0.1,50
439485575,0.1,576
2217192537,0.1,74
3412522237,0.1,281
555567425,0.1,242
3399977417,0.1,38
2903099886,0.1,847
151712926,0.1,446
1207582415,0.1,583
2486821540,0.1,246
1259821421,0.1,545
597594931,0.1,670
2865206418,0.1,19
3003750881,0.1,228
3312495928,0.1,646
3078168926,0.1,554
1005097259,0.1,584
1646080115,0.1,359
2175304393,0.1,400
3907648593,0.1,900
1971688097,0.1,891
268300483,0.1,777
3139098279,0.1,250
3174456534,0.1,40
997026310,0.1,741
4280428995,0.1,48
345698675,0.1,410
2296661869,0.1,12
1808063307,0.1,264
3884888703,0.1,246
2494461129,0.1,135
3862701690,0.1,688
1989052338,0.1,685
2910179760,0.1,766
1983180500,0.1,651
2796940620,0.1,562
2835193311,0.1,476
1671370085,0.1,654
3953588250,0.1,652
358542842,0.1,284
3497188667,0.1,750
253549709,0.1,296
1953331372,0.1,357
890775398,0.1,414
642810498,0.1,707
1233062494,0.1,251
908446902,0.1,224
3109591194,0.1,409
2446198906,0.1,8
3358664237,0.1,289
896344283,0.1,664
1869944201,0.1,376
3190319407,0.1,294
987968938,0.1,522
48960437,0.1,529
2405484524,0.1,729
3763400334,0.1,680
4209925572,0.1,440
4172993659,0.1,938
2147595062,0.1,234
3425188374,0.1,506
3309235867,0.1,1389
3869940862,0.1,82
3445858407,0.1,157
683688611,0.1,1044
3671515462,0.1,314
3027130951,0.1,449
3369736057,0.1,1076
1655287705,0.1,205
3004971955,0.1,302
1256815592,0.1,557
267482411,0.1,547
2210323869,0.1,779
3218958405,0.1,727
3163371865,0.1,38
1394697297,0.1,433
4178031102,0.1,57
643453088,0.1,48
3249835323,0.1,202
349764347,0.1,533
317791015,0.1,769
4067508317,0.1,230
2385507088,0.1,280
1526028037,0.1,383
297824171,0.1,763
1353143832,0.1,213
1739382006,0.1,518
580680804,0.1,632
2823014988,0.1,393
3517474495,0.1,26
1323262800,0.1,554
975802718,0.1,572
2199045525,0.1,734
1193102617,0.1,146
884894373,0.1,246
3411013638,0.1,27
805745625,0.1,186
3780170430,0.1,180
3127142703,0.1,9
2145807442,0.1,682
7356014,0.1,385
1854214563,0.1,356
3246756741,0.1,504
4269520782,0.1,104
3093880402,0.1,247
721312908,0.1,53
2185234596,0.1,359
1811372632,0.1,1
158871473,0.1,136
3933942357,0.1,1
2247311752,0.1,312
2639539135,0.1,658
588020478,0.1,382
2481404281,0.1,5
3605935409,0.1,368
1724216363,0.1,475
3705963873,0.1,4
3077038052,0.1,495
3012538924,0.1,1185
339579960,0.1,462
3595527923,0.1,325
863450078,0.1,801
1293846983,0.1,756
297175216,0.1,945
1619853330,0.1,315
1315304267,0.1,216
3174143715,0.1,323
1039824701,0.1,702
721441559,0.1,109
4105799406,0.1,452
1633137197,0.1,151
1521883525,0.1,503
3988848284,0.1,607
2356674901,0.1,273
3622559309,0.1,312
855568988,0.1,345
2610361744,0.1,209
3797455899,0.1,79
3701701166,0.1,120
1820757617,0.1,237
3255375637,0.1,676
1973362254,0.1,317
817567550,0.1,558
3034277235,0.1,324
422340604,0.1,872
2537213971,0.1,1032
2777209301,0.1,362
3393578195,0.1,132
968986378,0.1,248
688328363,0.1,224
4152859901,0.1,328
1795468969,0.1,778
2590496957,0.1,447
3299187091,0.1,1675
1977285233,0.1,270
2229299064,0.1,897
621973311,0.1,30
3137073118,0.1,282
1722482046,0.1,206
2843863878,0.1,335
3220027874,0.1,285
2854411774,0.1,386
656915034,0.1,20
3284494407,0.1,352
1067328885,0.1,460
2684470948,0.12000000000000001,312
4091952314,0.12000000000000001,933
233227757,0.12000000000000001,990
3276785861,0.12000000000000001,652
3644269654,0.12000000000000001,31
1206282609,0.12000000000000001,327
3543069911,0.12000000000000001,958
3479688010,0.12000000000000001,453
877132087,0.12000000000000001,590
1244265337,0.12000000000000001,320
2740186692,0.12000000000000001,1408
3884972972,0.12000000000000001,186
829139639,0.12000000000000001,279
2545567356,0.12000000000000001,235
2718398101,0.12000000000000001,507
176092387,0.12000000000000001,1056
3528048386,0.12000000000000001,644
569531098,0.12000000000000001,932
1337295874,0.12000000000000001,154
612016888,0.12000000000000001,352
232150720,0.12000000000000001,485
2324106676,0.12000000000000001,875
1658700540,0.12000000000000001,506
609942288,0.12000000000000001,508
3405943863,0.12000000000000001,1000
2257503667,0.12000000000000001,469
4018327298,0.12000000000000001,590
2224437599,0.12000000000000001,462
168388230,0.12000000000000001,950
911875363,0.12000000000000001,286
3699796293,0.12000000000000001,247
3195154224,0.12000000000000001,597
3621210587,0.12000000000000001,19
1945778437,0.12000000000000001,312
2384190687,0.12000000000000001,357
3249086786,0.12000000000000001,50
439485575,0.12000000000000001,555
2217192537,0.12000000000000001,113
3412522237,0.12000000000000001,257
555567425,0.12000000000000001,491
3399977417,0.12000000000000001,641
2903099886,0.12000000000000001,375
151712926,0.12000000000000001,500
1207582415,0.12000000000000001,689
2486821540,0.12000000000000001,290
1259821421,0.12000000000000001,612
597594931,0.12000000000000001,777
2865206418,0.12000000000000001,353
3003750881,0.12000000000000001,327
3312495928,0.12000000000000001,556
3078168926,0.12000000000000001,567
1005097259,0.12000000000000001,540
1646080115,0.12000000000000001,388
2175304393,0.12000000000000001,229
3907648593,0.12000000000000001,824
1971688097,0.12000000000000001,695
268300483,0.12000000000000001,762
3139098279,0.12000000000000001,344
3174456534,0.12000000000000001,566
997026310,0.12000000000000001,389
4280428995,0.12000000000000001,48
345698675,0.12000000000000001,216
2296661869,0.12000000000000001,12
1808063307,0.12000000000000001,205
3884888703,0.12000000000000001,242
2494461129,0.12000000000000001,177
3862701690,0.12000000000000001,702
1989052338,0.12000000000000001,295
2910179760,0.12000000000000001,629
1983180500,0.12000000000000001,357
2796940620,0.12000000000000001,338
2835193311,0.12000000000000001,529
1671370085,0.12000000000000001,987
3953588250,0.12000000000000001,693
358542842,0.12000000000000001,146
3497188667,0.12000000000000001,428
253549709,0.12000000000000001,320
1953331372,0.12000000000000001,849
890775398,0.12000000000000001,662
642810498,0.12000000000000001,601
