delta_e,n_finite,miss_rate,q05_tau_arf,lambda_limit
0.1,200,0.0,12.95,1.23
0.12,200,0.0,12.95,1.489
0.14,200,0.0,12.95,1.748
0.16,200,0.0,12.95,2.007
0.18,200,0.0,17.75,3.106
0.2,200,0.0,21.55,4.202
0.22,200,0.0,57.85,12.438
0.24,200,0.0,48.9,11.492
0.26,200,0.0,47.0,11.985
0.28,200,0.0,41.95,11.536
0.3,200,0.0,38.95,11.49
0.32,200,0.0,34.0,10.71
0.34,200,0.0,31.95,10.703
0.36,200,0.0,30.0,10.65
0.38,200,0.0,28.95,10.856
0.4,200,0.0,26.95,10.645
0.42,200,0.0,25.0,10.375
0.44,200,0.0,24.0,10.44
0.46,200,0.0,23.0,10.465
0.48,200,0.0,22.0,10.45
0.5,200,0.0,21.0,10.395
