delta_e,n_finite,miss_rate,q05_tau_arf,lambda_limit
0.1,200,0.0,25.7,2.442
0.12,200,0.0,30.95,3.559
0.14,200,0.0,54.7,7.385
0.16,200,0.0,54.7,8.479
0.18,200,0.0,41.4,7.245
0.2,200,0.0,46.9,9.146
0.22,200,0.0,48.8,10.492
0.24,200,0.0,40.85,9.6
0.26,200,0.0,38.95,9.932
0.28,200,0.0,38.0,10.45
0.3,200,0.0,33.85,9.986
0.32,200,0.0,30.95,9.749
0.34,200,0.0,30.0,10.05
0.36,200,0.0,28.0,9.94
0.38,200,0.0,27.0,10.125
0.4,200,0.0,26.0,10.27
0.42,200,0.0,25.0,10.375
0.44,200,0.0,23.0,10.005
0.46,200,0.0,22.0,10.01
0.48,200,0.0,21.95,10.426
0.5,200,0.0,20.95,10.37
