delta_e,delta_e_eff,lambda,reliability_r,n_samples,E_tau_HAT,tau_det_star,F_emp,F_exp,F_alt,alt_dist,Mcrit_emp,Mcrit_exp,Mcrit_alt,Mcrit_emp_dkw_up,Pmiss_M10,verdict_conservatism,coherence_check
0.1,0.0854,8,0.99,87,1767.17,106.03,0.0345,0.0582,0.008,weibull_min,0.0,0.0,1.0,inf,0.296,ANTI-CONSERVATIVE,False
0.1,0.0854,8,0.95,87,1767.17,106.03,0.0345,0.0582,0.008,weibull_min,1.0,0.0,6.0,inf,0.296,ANTI-CONSERVATIVE,True
0.1,0.0854,8,0.5,87,1767.17,106.03,0.0345,0.0582,0.008,weibull_min,19.0,11.0,85.0,inf,0.296,ANTI-CONSERVATIVE,True
0.1,0.0854,25,0.99,87,1767.17,331.35,0.069,0.171,0.0518,weibull_min,0.0,0.0,0.0,inf,0.5106,ANTI-CONSERVATIVE,False
0.1,0.0854,25,0.95,87,1767.17,331.35,0.069,0.171,0.0518,weibull_min,0.0,0.0,0.0,inf,0.5106,ANTI-CONSERVATIVE,False
0.1,0.0854,25,0.5,87,1767.17,331.35,0.069,0.171,0.0518,weibull_min,9.0,3.0,13.0,inf,0.5106,ANTI-CONSERVATIVE,True
0.1,0.0854,50,0.99,87,1767.17,662.7,0.1149,0.3127,0.1544,weibull_min,0.0,0.0,0.0,inf,0.7051,ANTI-CONSERVATIVE,False
0.1,0.0854,50,0.95,87,1767.17,662.7,0.1149,0.3127,0.1544,weibull_min,0.0,0.0,0.0,inf,0.7051,ANTI-CONSERVATIVE,False
0.1,0.0854,50,0.5,87,1767.17,662.7,0.1149,0.3127,0.1544,weibull_min,5.0,1.0,4.0,inf,0.7051,ANTI-CONSERVATIVE,True
0.15,0.1409,8,0.99,99,1501.65,61.09,0.0202,0.0399,0.0054,weibull_min,0.0,0.0,1.0,inf,0.1846,ANTI-CONSERVATIVE,False
0.15,0.1409,8,0.95,99,1501.65,61.09,0.0202,0.0399,0.0054,weibull_min,2.0,1.0,9.0,inf,0.1846,ANTI-CONSERVATIVE,True
0.15,0.1409,8,0.5,99,1501.65,61.09,0.0202,0.0399,0.0054,weibull_min,33.0,17.0,128.0,inf,0.1846,ANTI-CONSERVATIVE,True
0.15,0.1409,25,0.99,99,1501.65,190.91,0.0202,0.1194,0.0322,weibull_min,0.0,0.0,0.0,inf,0.1846,ANTI-CONSERVATIVE,False
0.15,0.1409,25,0.95,99,1501.65,190.91,0.0202,0.1194,0.0322,weibull_min,2.0,0.0,1.0,inf,0.1846,ANTI-CONSERVATIVE,True
0.15,0.1409,25,0.5,99,1501.65,190.91,0.0202,0.1194,0.0322,weibull_min,33.0,5.0,21.0,inf,0.1846,ANTI-CONSERVATIVE,True
0.15,0.1409,50,0.99,99,1501.65,381.83,0.1212,0.2245,0.0934,weibull_min,0.0,0.0,0.0,inf,0.7253,ANTI-CONSERVATIVE,False
0.15,0.1409,50,0.95,99,1501.65,381.83,0.1212,0.2245,0.0934,weibull_min,0.0,0.0,0.0,inf,0.7253,ANTI-CONSERVATIVE,False
0.15,0.1409,50,0.5,99,1501.65,381.83,0.1212,0.2245,0.0934,weibull_min,5.0,2.0,7.0,inf,0.7253,ANTI-CONSERVATIVE,True
0.2,0.1936,8,0.99,100,1108.59,43.57,0.01,0.0385,0.0137,weibull_min,1.0,0.0,0.0,inf,0.0956,ANTI-CONSERVATIVE,True
0.2,0.1936,8,0.95,100,1108.59,43.57,0.01,0.0385,0.0137,weibull_min,5.0,1.0,3.0,inf,0.0956,ANTI-CONSERVATIVE,True
0.2,0.1936,8,0.5,100,1108.59,43.57,0.01,0.0385,0.0137,weibull_min,68.0,17.0,50.0,inf,0.0956,ANTI-CONSERVATIVE,True
0.2,0.1936,25,0.99,100,1108.59,136.15,0.08,0.1156,0.0585,weibull_min,0.0,0.0,0.0,inf,0.5656,ANTI-CONSERVATIVE,False
0.2,0.1936,25,0.95,100,1108.59,136.15,0.08,0.1156,0.0585,weibull_min,0.0,0.0,0.0,inf,0.5656,ANTI-CONSERVATIVE,False
0.2,0.1936,25,0.5,100,1108.59,136.15,0.08,0.1156,0.0585,weibull_min,8.0,5.0,11.0,inf,0.5656,ANTI-CONSERVATIVE,True
0.2,0.1936,50,0.99,100,1108.59,272.3,0.23,0.2178,0.1376,weibull_min,0.0,0.0,0.0,0.0,0.9267,CONSERVATIVE,True
0.2,0.1936,50,0.95,100,1108.59,272.3,0.23,0.2178,0.1376,weibull_min,0.0,0.0,0.0,0.0,0.9267,CONSERVATIVE,True
0.2,0.1936,50,0.5,100,1108.59,272.3,0.23,0.2178,0.1376,weibull_min,2.0,2.0,4.0,7.0,0.9267,CONSERVATIVE,True
0.25,0.2426,8,0.99,100,799.21,34.4,0.0,0.0421,0.0308,weibull_min,inf,0.0,0.0,inf,0.0,ANTI-CONSERVATIVE,True
0.25,0.2426,8,0.95,100,799.21,34.4,0.0,0.0421,0.0308,weibull_min,inf,1.0,1.0,inf,0.0,ANTI-CONSERVATIVE,True
0.25,0.2426,8,0.5,100,799.21,34.4,0.0,0.0421,0.0308,weibull_min,inf,16.0,22.0,inf,0.0,ANTI-CONSERVATIVE,True
0.25,0.2426,25,0.99,100,799.21,107.5,0.18,0.1258,0.1028,weibull_min,0.0,0.0,0.0,0.0,0.8626,CONSERVATIVE,True
0.25,0.2426,25,0.95,100,799.21,107.5,0.18,0.1258,0.1028,weibull_min,0.0,0.0,0.0,1.0,0.8626,CONSERVATIVE,True
0.25,0.2426,25,0.5,100,799.21,107.5,0.18,0.1258,0.1028,weibull_min,3.0,5.0,6.0,15.0,0.8626,CONSERVATIVE,True
0.25,0.2426,50,0.99,100,799.21,214.99,0.34,0.2359,0.2062,weibull_min,0.0,0.0,0.0,0.0,0.9843,CONSERVATIVE,True
0.25,0.2426,50,0.95,100,799.21,214.99,0.34,0.2359,0.2062,weibull_min,0.0,0.0,0.0,0.0,0.9843,CONSERVATIVE,True
0.25,0.2426,50,0.5,100,799.21,214.99,0.34,0.2359,0.2062,weibull_min,1.0,2.0,3.0,3.0,0.9843,CONSERVATIVE,True
0.33,0.3268,8,0.99,100,463.15,25.25,0.0,0.0531,0.0369,lognorm,inf,0.0,0.0,inf,0.0,ANTI-CONSERVATIVE,True
0.33,0.3268,8,0.95,100,463.15,25.25,0.0,0.0531,0.0369,lognorm,inf,0.0,1.0,inf,0.0,ANTI-CONSERVATIVE,True
0.33,0.3268,8,0.5,100,463.15,25.25,0.0,0.0531,0.0369,lognorm,inf,12.0,18.0,inf,0.0,ANTI-CONSERVATIVE,True
0.33,0.3268,25,0.99,100,463.15,78.92,0.28,0.1567,0.1916,lognorm,0.0,0.0,0.0,0.0,0.9626,CONSERVATIVE,True
0.33,0.3268,25,0.95,100,463.15,78.92,0.28,0.1567,0.1916,lognorm,0.0,0.0,0.0,0.0,0.9626,CONSERVATIVE,True
0.33,0.3268,25,0.5,100,463.15,78.92,0.28,0.1567,0.1916,lognorm,2.0,4.0,3.0,4.0,0.9626,CONSERVATIVE,True
0.33,0.3268,50,0.99,100,463.15,157.83,0.49,0.2888,0.3763,lognorm,0.0,0.0,0.0,0.0,0.9988,CONSERVATIVE,True
0.33,0.3268,50,0.95,100,463.15,157.83,0.49,0.2888,0.3763,lognorm,0.0,0.0,0.0,0.0,0.9988,CONSERVATIVE,True
0.33,0.3268,50,0.5,100,463.15,157.83,0.49,0.2888,0.3763,lognorm,1.0,2.0,1.0,1.0,0.9988,CONSERVATIVE,True
0.4,0.391,8,0.99,100,319.9,21.0,0.01,0.0635,0.0605,lognorm,1.0,0.0,0.0,inf,0.0956,ANTI-CONSERVATIVE,True
0.4,0.391,8,0.95,100,319.9,21.0,0.01,0.0635,0.0605,lognorm,5.0,0.0,0.0,inf,0.0956,ANTI-CONSERVATIVE,True
0.4,0.391,8,0.5,100,319.9,21.0,0.01,0.0635,0.0605,lognorm,68.0,10.0,11.0,inf,0.0956,ANTI-CONSERVATIVE,True
0.4,0.391,25,0.99,100,319.9,65.62,0.39,0.1854,0.2661,lognorm,0.0,0.0,0.0,0.0,0.9929,CONSERVATIVE,True
0.4,0.391,25,0.95,100,319.9,65.62,0.39,0.1854,0.2661,lognorm,0.0,0.0,0.0,0.0,0.9929,CONSERVATIVE,True
0.4,0.391,25,0.5,100,319.9,65.62,0.39,0.1854,0.2661,lognorm,1.0,3.0,2.0,2.0,0.9929,CONSERVATIVE,True
0.4,0.391,50,0.99,100,319.9,131.23,0.62,0.3365,0.4756,lognorm,0.0,0.0,0.0,0.0,0.9999,CONSERVATIVE,True
0.4,0.391,50,0.95,100,319.9,131.23,0.62,0.3365,0.4756,lognorm,0.0,0.0,0.0,0.0,0.9999,CONSERVATIVE,True
0.4,0.391,50,0.5,100,319.9,131.23,0.62,0.3365,0.4756,lognorm,0.0,1.0,1.0,1.0,0.9999,CONSERVATIVE,True
0.5,0.4977,8,0.99,100,141.29,16.4,0.0,0.1096,0.0622,lognorm,inf,0.0,0.0,inf,0.0,ANTI-CONSERVATIVE,True
0.5,0.4977,8,0.95,100,141.29,16.4,0.0,0.1096,0.0622,lognorm,inf,0.0,0.0,inf,0.0,ANTI-CONSERVATIVE,True
0.5,0.4977,8,0.5,100,141.29,16.4,0.0,0.1096,0.0622,lognorm,inf,5.0,10.0,inf,0.0,ANTI-CONSERVATIVE,True
0.5,0.4977,25,0.99,100,141.29,51.27,0.52,0.3043,0.3362,lognorm,0.0,0.0,0.0,0.0,0.9994,CONSERVATIVE,True
0.5,0.4977,25,0.95,100,141.29,51.27,0.52,0.3043,0.3362,lognorm,0.0,0.0,0.0,0.0,0.9994,CONSERVATIVE,True
0.5,0.4977,25,0.5,100,141.29,51.27,0.52,0.3043,0.3362,lognorm,0.0,1.0,1.0,1.0,0.9994,CONSERVATIVE,True
0.5,0.4977,50,0.99,100,141.29,102.53,0.67,0.516,0.6006,lognorm,0.0,0.0,0.0,0.0,1.0,CONSERVATIVE,True
0.5,0.4977,50,0.95,100,141.29,102.53,0.67,0.516,0.6006,lognorm,0.0,0.0,0.0,0.0,1.0,CONSERVATIVE,True
0.5,0.4977,50,0.5,100,141.29,102.53,0.67,0.516,0.6006,lognorm,0.0,0.0,0.0,0.0,1.0,CONSERVATIVE,True
