boundary_shift,seed,delta_e,tau_hat,tau_det,n_swaps_post,n_warnings_post
0.1,1,0.06200000000000001,117.0,,4,4
0.1,2,-0.006000000000000005,2288.0,,1,1
0.1,3,-0.04599999999999999,876.0,671.0,1,1
0.1,4,0.021999999999999992,1600.0,1663.0,1,1
0.1,5,-0.0040000000000000036,806.0,63.0,1,1
0.1,6,0.052000000000000005,280.0,,1,1
0.1,7,-0.003999999999999997,2128.0,2175.0,1,1
0.1,8,-0.0059999999999999915,2175.0,799.0,1,1
0.1,9,-0.0059999999999999915,1823.0,1951.0,1,1
0.1,10,-0.02599999999999998,1309.0,1407.0,1,1
0.1,11,-0.03,703.0,799.0,1,1
0.1,12,0.02600000000000001,376.0,2015.0,3,3
0.1,13,-0.016,2564.0,1727.0,1,1
0.1,14,-0.007999999999999993,1239.0,,1,1
0.1,15,-0.017999999999999995,970.0,287.0,1,1
0.1,16,-0.018000000000000002,2103.0,1695.0,1,1
0.1,17,0.0040000000000000036,2187.0,895.0,1,1
0.1,18,0.001999999999999988,3242.0,1407.0,1,1
0.1,19,0.038000000000000006,1383.0,3519.0,1,1
0.1,20,-0.006000000000000005,1170.0,,3,3
0.1,21,-0.025999999999999995,2207.0,1951.0,1,1
0.1,22,-0.042,1550.0,703.0,1,1
0.1,23,0.09000000000000001,1273.0,2367.0,1,1
0.1,24,-0.0040000000000000036,1901.0,2015.0,1,1
0.1,25,-0.024000000000000007,1193.0,991.0,1,1
0.1,26,0.018000000000000002,1094.0,959.0,1,1
0.1,27,0.010000000000000002,685.0,3039.0,2,2
0.1,28,0.013999999999999999,1398.0,,1,1
0.1,29,0.0020000000000000018,3071.0,3135.0,1,1
0.1,30,-0.03599999999999999,1920.0,,2,2
0.1,31,0.094,166.0,287.0,1,1
0.1,32,0.012000000000000004,2653.0,2719.0,1,1
0.1,33,0.12199999999999998,894.0,63.0,1,1
0.1,34,0.055999999999999994,4.0,2719.0,2,2
0.1,35,-0.05200000000000002,706.0,287.0,1,1
0.1,36,0.011999999999999997,164.0,2111.0,1,1
0.1,37,-0.005999999999999998,,703.0,0,0
0.1,38,0.0,1239.0,,2,2
0.1,39,0.076,720.0,31.0,1,1
0.1,40,-0.03200000000000001,1984.0,735.0,1,1
0.1,41,-0.05200000000000002,641.0,2015.0,1,1
0.1,42,-0.06,788.0,1631.0,1,1
0.1,43,-0.023999999999999994,2462.0,2111.0,1,1
0.1,44,-0.024000000000000007,2149.0,2207.0,1,1
0.1,45,-0.0040000000000000036,1287.0,1343.0,1,1
0.1,46,-0.055999999999999994,286.0,831.0,1,1
0.1,47,0.0040000000000000036,3321.0,,1,1
0.1,48,-0.017999999999999995,2923.0,,2,2
0.1,49,0.10200000000000001,52.0,127.0,2,2
0.1,50,0.031999999999999994,275.0,3999.0,1,1
0.1,51,-0.060000000000000005,3774.0,95.0,1,1
0.1,52,0.0040000000000000036,18.0,,2,2
0.1,53,0.03599999999999999,,3615.0,0,0
0.1,54,-0.008,577.0,447.0,1,1
0.1,55,-0.017999999999999988,745.0,2847.0,2,2
0.1,56,-0.027999999999999997,484.0,1919.0,2,2
0.1,57,-0.052000000000000005,953.0,95.0,1,1
0.1,58,0.012000000000000004,1379.0,1535.0,1,1
0.1,59,-0.052000000000000005,1698.0,191.0,1,1
0.1,60,-0.025999999999999995,720.0,863.0,1,1
0.1,61,-0.011999999999999997,1686.0,575.0,1,1
0.1,62,-0.07200000000000001,595.0,1471.0,1,1
0.1,63,-0.048,1855.0,1951.0,1,1
0.1,64,-0.00399999999999999,1149.0,703.0,1,1
0.1,65,0.076,229.0,383.0,1,1
0.1,66,-0.020000000000000004,893.0,2047.0,1,1
0.1,67,-0.0020000000000000018,712.0,,3,3
0.1,68,0.049999999999999996,323.0,,1,1
0.1,69,0.006000000000000005,1914.0,703.0,1,1
0.1,70,-0.054000000000000006,298.0,1503.0,1,1
0.1,71,-0.008000000000000007,87.0,511.0,1,1
0.1,72,-0.018000000000000002,957.0,,2,2
0.1,73,0.15800000000000003,408.0,63.0,1,1
0.1,74,-0.066,1794.0,2335.0,1,1
0.1,75,-0.0040000000000000036,3469.0,3615.0,1,1
0.1,76,0.02,3034.0,3103.0,1,1
0.1,77,-0.04000000000000001,1687.0,1855.0,1,1
0.1,78,-0.005999999999999998,2359.0,2431.0,1,1
0.1,79,0.013999999999999999,1052.0,575.0,1,1
0.1,80,0.006000000000000005,2055.0,2111.0,1,1
0.1,81,0.07599999999999998,38.0,1215.0,2,2
0.1,82,-0.0020000000000000018,475.0,127.0,1,1
0.1,83,-0.05399999999999999,1075.0,,4,4
0.1,84,0.07799999999999999,230.0,351.0,1,1
0.1,85,-0.013999999999999999,751.0,863.0,1,1
0.1,86,-0.016,1211.0,671.0,1,1
0.1,87,0.10399999999999998,252.0,319.0,1,1
0.1,88,0.010000000000000009,956.0,3135.0,2,2
0.1,89,-0.0059999999999999915,1169.0,1215.0,1,1
0.1,90,0.015999999999999993,,,0,0
0.1,91,-0.02,2221.0,63.0,1,1
0.1,92,0.011999999999999997,1640.0,991.0,1,1
0.1,93,-0.036000000000000004,775.0,575.0,1,1
0.1,94,-0.010000000000000009,2047.0,,1,1
0.1,95,0.010000000000000002,2932.0,3167.0,1,1
0.1,96,0.10800000000000001,654.0,31.0,1,1
0.1,97,-0.016,1588.0,1631.0,1,1
0.1,98,-0.020000000000000004,1454.0,3071.0,1,1
0.1,99,0.05600000000000001,51.0,959.0,1,1
0.1,100,-0.010000000000000002,1016.0,735.0,1,1
0.30526315789473685,1,0.046,1903.0,,1,1
0.30526315789473685,2,0.027999999999999997,2154.0,2367.0,1,1
0.30526315789473685,3,0.008000000000000007,1894.0,1887.0,1,1
0.30526315789473685,4,0.05399999999999999,3686.0,3775.0,1,1
0.30526315789473685,5,0.0020000000000000018,1418.0,95.0,1,1
0.30526315789473685,6,0.046,,,0,0
0.30526315789473685,7,0.036000000000000004,,,0,0
0.30526315789473685,8,0.024000000000000007,2336.0,1471.0,1,1
0.30526315789473685,9,0.01200000000000001,2049.0,2111.0,1,1
0.30526315789473685,10,-0.009999999999999981,1398.0,,2,2
0.30526315789473685,11,0.0020000000000000018,1157.0,1279.0,1,1
0.30526315789473685,12,0.0059999999999999915,411.0,2079.0,1,1
0.30526315789473685,13,0.01200000000000001,2616.0,2463.0,1,1
0.30526315789473685,14,-0.0059999999999999915,1662.0,1791.0,1,1
0.30526315789473685,15,0.008000000000000007,2430.0,735.0,1,1
0.30526315789473685,16,-0.032,899.0,3103.0,3,3
0.30526315789473685,17,0.038,2744.0,2015.0,1,1
0.30526315789473685,18,0.0,2999.0,1471.0,1,1
0.30526315789473685,19,0.034,1377.0,1759.0,1,1
0.30526315789473685,20,-0.024000000000000007,1005.0,2271.0,1,1
0.30526315789473685,21,0.011999999999999997,2620.0,2559.0,1,1
0.30526315789473685,22,-0.009999999999999995,1838.0,1087.0,1,1
0.30526315789473685,23,0.05600000000000001,628.0,2079.0,1,1
0.30526315789473685,24,0.022,2989.0,,1,1
0.30526315789473685,25,-0.011999999999999997,1853.0,1471.0,1,1
0.30526315789473685,26,0.05399999999999999,1348.0,1631.0,1,1
0.30526315789473685,27,0.064,1812.0,,1,1
0.30526315789473685,28,0.055999999999999994,,,0,0
0.30526315789473685,29,0.027999999999999997,,,0,0
0.30526315789473685,30,-0.039999999999999994,1810.0,,1,1
0.30526315789473685,31,0.04,3564.0,3615.0,1,1
0.30526315789473685,32,0.033999999999999996,3986.0,,1,1
0.30526315789473685,33,0.09399999999999999,667.0,63.0,1,1
0.30526315789473685,34,0.046,4.0,1983.0,1,1
0.30526315789473685,35,-0.054000000000000006,716.0,351.0,1,1
0.30526315789473685,36,0.04000000000000001,266.0,1919.0,1,1
0.30526315789473685,37,0.034,3824.0,2879.0,1,1
0.30526315789473685,38,0.044,,,0,0
0.30526315789473685,39,0.09200000000000001,1023.0,95.0,1,1
0.30526315789473685,40,-0.013999999999999999,3062.0,1599.0,1,1
0.30526315789473685,41,-0.05200000000000002,699.0,1855.0,1,1
0.30526315789473685,42,-0.06,902.0,895.0,1,1
0.30526315789473685,43,-0.03799999999999999,1943.0,1535.0,1,1
0.30526315789473685,44,-0.006000000000000005,1253.0,159.0,1,1
0.30526315789473685,45,0.03799999999999999,,,0,0
0.30526315789473685,46,-0.05399999999999999,388.0,1727.0,1,1
0.30526315789473685,47,0.016,2295.0,,2,2
0.30526315789473685,48,0.02600000000000001,3612.0,3679.0,1,1
0.30526315789473685,49,0.032,2191.0,2239.0,1,1
0.30526315789473685,50,0.029999999999999992,1434.0,1311.0,1,1
0.30526315789473685,51,-0.034,2509.0,95.0,1,1
0.30526315789473685,52,0.01200000000000001,18.0,3999.0,5,5
0.30526315789473685,53,0.039999999999999994,1664.0,3679.0,1,1
0.30526315789473685,54,0.021999999999999992,,2719.0,0,0
0.30526315789473685,55,0.01200000000000001,1476.0,,2,2
0.30526315789473685,56,-0.020000000000000004,692.0,927.0,1,1
0.30526315789473685,57,-0.022000000000000006,1458.0,1215.0,1,1
0.30526315789473685,58,0.047999999999999994,2077.0,2175.0,1,1
0.30526315789473685,59,-0.02600000000000001,1177.0,415.0,1,1
0.30526315789473685,60,0.0020000000000000018,1229.0,1407.0,1,1
0.30526315789473685,61,0.030000000000000006,2621.0,1759.0,1,1
0.30526315789473685,62,-0.064,780.0,2431.0,1,1
0.30526315789473685,63,-0.03,2346.0,2591.0,1,1
0.30526315789473685,64,0.022000000000000006,1954.0,1279.0,1,1
0.30526315789473685,65,0.0,1324.0,,2,2
0.30526315789473685,66,0.034,1891.0,1855.0,1,1
0.30526315789473685,67,0.025999999999999995,1344.0,1439.0,1,1
0.30526315789473685,68,0.042,1128.0,,2,2
0.30526315789473685,69,0.018000000000000002,2222.0,991.0,1,1
0.30526315789473685,70,-0.048,1027.0,2047.0,1,1
0.30526315789473685,71,0.0040000000000000036,821.0,3935.0,3,3
0.30526315789473685,72,0.020000000000000004,,,0,0
0.30526315789473685,73,0.132,299.0,63.0,1,1
0.30526315789473685,74,-0.038000000000000006,2035.0,2079.0,1,1
0.30526315789473685,75,0.011999999999999997,,,0,0
0.30526315789473685,76,0.064,,,0,0
0.30526315789473685,77,-0.016,1608.0,3999.0,1,1
0.30526315789473685,78,0.04,,,0,0
0.30526315789473685,79,0.044,1783.0,1599.0,1,1
0.30526315789473685,80,0.054000000000000006,422.0,95.0,1,1
0.30526315789473685,81,0.064,237.0,1919.0,2,2
0.30526315789473685,82,0.007999999999999993,746.0,255.0,1,1
0.30526315789473685,83,-0.03,1557.0,2623.0,1,1
0.30526315789473685,84,0.066,1228.0,2847.0,2,2
0.30526315789473685,85,0.042,1877.0,1919.0,1,1
0.30526315789473685,86,0.016,2515.0,1663.0,1,1
0.30526315789473685,87,0.05999999999999999,,,0,0
0.30526315789473685,88,0.038000000000000006,1147.0,1343.0,1,1
0.30526315789473685,89,0.02600000000000001,2599.0,,1,1
0.30526315789473685,90,0.052,3626.0,3679.0,1,1
0.30526315789473685,91,0.024000000000000007,,95.0,0,0
0.30526315789473685,92,0.062,3901.0,3743.0,1,1
0.30526315789473685,93,0.007999999999999993,1945.0,1215.0,1,1
