delta_e,history,pre_drift_steps,p_0,p_1,n_0_errors,f_star,W_EDDM_steps,normal_approx_W
0.028186,S6 traces,1000,0.024,0.03,24.0,0.5333648078117096,914.4013426171138,155
0.028186,R4 ProteuS,4000,0.024,0.03,96.0,0.5333648078117096,3657.605370468455,155
0.085449,S6 traces,1000,0.024,0.075,24.0,0.24085425576919386,101.52643603928195,155
0.085449,R4 ProteuS,4000,0.024,0.075,96.0,0.24085425576919386,406.1057441571278,155
0.140949,S6 traces,1000,0.024,0.12,24.0,0.23442727822587608,61.242327883004684,155
0.140949,R4 ProteuS,4000,0.024,0.12,96.0,0.23442727822587608,244.96931153201874,155
0.193621,S6 traces,1000,0.024,0.1525,24.0,0.2343452379765706,48.168657561468706,155
0.193621,R4 ProteuS,4000,0.024,0.1525,96.0,0.2343452379765706,192.67463024587482,155
0.242568,S6 traces,1000,0.024,0.165,24.0,0.23451218448193992,44.56094859496598,155
0.242568,R4 ProteuS,4000,0.024,0.165,96.0,0.23451218448193992,178.2437943798639,155
0.287108,S6 traces,1000,0.024,0.17,24.0,0.23459196543617336,43.26955586180809,155
0.287108,R4 ProteuS,4000,0.024,0.17,96.0,0.23459196543617336,173.07822344723235,155
0.326793,S6 traces,1000,0.024,0.175,24.0,0.23467675346905845,42.05313326315562,155
0.326793,R4 ProteuS,4000,0.024,0.175,96.0,0.23467675346905845,168.2125330526225,155
0.361418,S6 traces,1000,0.024,0.165,24.0,0.23451218448193992,44.56094859496598,155
0.361418,R4 ProteuS,4000,0.024,0.165,96.0,0.23451218448193992,178.2437943798639,155
0.390998,S6 traces,1000,0.024,0.165,24.0,0.23451218448193992,44.56094859496598,155
0.390998,R4 ProteuS,4000,0.024,0.165,96.0,0.23451218448193992,178.2437943798639,155
0.415743,S6 traces,1000,0.024,0.15,24.0,0.23431950730050974,48.96444603923826,155
0.415743,R4 ProteuS,4000,0.024,0.15,96.0,0.23431950730050974,195.85778415695304,155
0.436013,S6 traces,1000,0.024,0.145,24.0,0.23427840600738958,50.64127194701968,155
0.436013,R4 ProteuS,4000,0.024,0.145,96.0,0.23427840600738958,202.56508778807873,155
0.452271,S6 traces,1000,0.024,0.135,24.0,0.23425068069686397,54.38407114108643,155
0.452271,R4 ProteuS,4000,0.024,0.135,96.0,0.23425068069686397,217.53628456434572,155
0.46504,S6 traces,1000,0.024,0.13,24.0,0.23427365155541446,56.482998626086086,155
0.46504,R4 ProteuS,4000,0.024,0.13,96.0,0.23427365155541446,225.93199450434435,155
0.47486,S6 traces,1000,0.024,0.125,24.0,0.2343296757641074,58.76066542295221,155
0.47486,R4 ProteuS,4000,0.024,0.125,96.0,0.2343296757641074,235.04266169180883,155
0.482255,S6 traces,1000,0.024,0.1175,24.0,0.2344949654278708,62.568947086102355,155
0.482255,R4 ProteuS,4000,0.024,0.1175,96.0,0.2344949654278708,250.27578834440942,155
0.487707,S6 traces,1000,0.024,0.1125,24.0,0.23467632522488763,65.41582909917676,155
0.487707,R4 ProteuS,4000,0.024,0.1125,96.0,0.23467632522488763,261.66331639670705,155
0.491644,S6 traces,1000,0.024,0.11,24.0,0.2347939865021944,66.94638825306744,155
0.491644,R4 ProteuS,4000,0.024,0.11,96.0,0.2347939865021944,267.78555301226976,155
0.494428,S6 traces,1000,0.024,0.11,24.0,0.2347939865021944,66.94638825306744,155
0.494428,R4 ProteuS,4000,0.024,0.11,96.0,0.2347939865021944,267.78555301226976,155
0.496355,S6 traces,1000,0.024,0.105,24.0,0.23509548786521825,70.25205193531555,155
0.496355,R4 ProteuS,4000,0.024,0.105,96.0,0.23509548786521825,281.0082077412622,155
0.497661,S6 traces,1000,0.024,0.105,24.0,0.23509548786521825,70.25205193531555,155
0.497661,R4 ProteuS,4000,0.024,0.105,96.0,0.23509548786521825,281.0082077412622,155
