arm,delta_e,n,p0_hat,p1_hat,n_errors_pre,detection_rate,warm_start_complete_at_tau,pre_drift_alarm_rate,median_tau_det,level_tests_zero,median_level_tests,median_min_level,max_update_share
full,0.028186,100,0.024,0.03,24.0,0.91,0.05,0.02,233.0,0.0,53.5,0.7339061526265847,4.0
full,0.085449,100,0.024,0.075,24.0,0.98,0.05,0.02,85.0,0.0,73.0,0.5729259553450201,4.0
full,0.140949,100,0.024,0.12,24.0,0.98,0.05,0.02,54.5,0.0,84.0,0.5295138508666606,4.0
full,0.193621,100,0.024,0.1525,24.0,0.98,0.05,0.02,39.5,0.0,89.0,0.5122418503976853,4.0
full,0.242568,100,0.024,0.165,24.0,0.98,0.05,0.02,30.5,0.0,86.5,0.5218747700003452,4.0
full,0.287108,100,0.024,0.17,24.0,0.98,0.05,0.02,29.0,0.0,81.5,0.5372771455371834,4.0
full,0.326793,100,0.024,0.175,24.0,0.98,0.05,0.02,24.0,0.0,77.0,0.5326444831781468,4.0
full,0.361418,100,0.024,0.165,24.0,0.98,0.05,0.02,21.0,0.0,71.0,0.5445585353088478,4.0
full,0.390998,100,0.024,0.165,24.0,0.98,0.05,0.02,19.5,0.0,65.5,0.5621912217260705,4.0
full,0.415743,100,0.024,0.15,24.0,0.98,0.05,0.02,18.0,0.0,60.0,0.5542576462237432,4.0
full,0.436013,100,0.024,0.145,24.0,0.98,0.05,0.02,17.0,0.0,56.0,0.5707262962353186,4.0
full,0.452271,100,0.024,0.135,24.0,0.98,0.05,0.02,17.0,0.0,51.5,0.5918236165212423,4.5
full,0.46504,100,0.024,0.13,24.0,0.98,0.05,0.02,16.0,0.0,47.0,0.6025056658696997,5.0
full,0.47486,100,0.024,0.125,24.0,0.98,0.05,0.02,16.0,0.0,43.0,0.6050243539435847,6.0
full,0.482255,100,0.024,0.1175,24.0,0.98,0.05,0.02,15.0,0.0,37.0,0.6157115782327909,7.0
full,0.487707,100,0.024,0.1125,24.0,0.98,0.05,0.02,15.0,0.0,31.5,0.6319891906940356,8.0
full,0.491644,100,0.024,0.11,24.0,0.98,0.05,0.02,15.0,0.0,27.0,0.6279195337400745,9.0
full,0.494428,100,0.024,0.11,24.0,0.98,0.05,0.02,15.0,0.0,22.0,0.6296228609612975,8.0
full,0.496355,100,0.024,0.105,24.0,0.98,0.05,0.02,14.5,0.0,19.0,0.6356632178063336,7.0
full,0.497661,100,0.024,0.105,24.0,0.98,0.05,0.02,14.5,0.0,16.0,0.6403494100330422,7.0
no_swap,0.028186,100,0.024,0.035,24.0,0.89,0.05,0.02,231.0,0.0,38.5,0.7504099731841709,5.0
no_swap,0.085449,100,0.024,0.075,24.0,0.98,0.05,0.02,85.0,0.0,65.0,0.5729259553450201,4.0
no_swap,0.140949,100,0.024,0.12,24.0,0.98,0.05,0.02,54.5,0.0,76.0,0.528468998563591,4.0
no_swap,0.193621,100,0.024,0.155,24.0,0.98,0.05,0.02,39.5,0.0,80.0,0.5100681310422006,4.0
no_swap,0.242568,100,0.024,0.18,24.0,0.98,0.05,0.02,30.5,0.0,82.0,0.5006786938326647,4.0
no_swap,0.287108,100,0.024,0.1975,24.0,0.98,0.05,0.02,29.0,0.0,81.0,0.5045951724332239,4.0
no_swap,0.326793,100,0.024,0.21,24.0,0.98,0.05,0.02,24.0,0.0,80.0,0.5060452091674587,4.0
