delta_e,W_estimator,lambda,n,W_mean,mu,mu_W_mean,vacant_at_mean_W,bound_at_mean_W,frac_runs_vacant,bound_plugin
0.028186,tau_swap^(1/M),8.0,74,184.5,0.018186,3.36,False,1.0,0.0405,0.9203237613115265
0.028186,tau_swap^(1/M),15.0,74,184.5,0.018186,3.36,False,1.0,0.0,0.703189978220137
0.028186,tau_swap^(1/M),25.0,74,184.5,0.018186,3.36,False,1.0,0.0,0.44742579691837864
0.028186,tau_swap^(1/M),50.0,74,184.5,0.018186,3.36,False,1.0611635483133376e-08,0.0,0.04580389861670778
0.028186,tau_erase (argmax A_unrefl),8.0,74,793.5,0.018186,14.43,True,1.0,0.5405,1.0
0.028186,tau_erase (argmax A_unrefl),15.0,74,793.5,0.018186,14.43,False,1.0,0.3378,0.986909444915393
0.028186,tau_erase (argmax A_unrefl),25.0,74,793.5,0.018186,14.43,False,1.0,0.2027,0.9297772915534506
0.028186,tau_erase (argmax A_unrefl),50.0,74,793.5,0.018186,14.43,False,1.0,0.0,0.4921896775012492
0.028186,tau_err(0.10),8.0,74,733.3,0.018186,13.34,True,1.0,0.7973,1.0
0.028186,tau_err(0.10),15.0,74,733.3,0.018186,13.34,False,1.0,0.3108,1.0
0.028186,tau_err(0.10),25.0,74,733.3,0.018186,13.34,False,1.0,0.0405,1.0
0.028186,tau_err(0.10),50.0,74,733.3,0.018186,13.34,False,1.0,0.0,0.6978361521406978
0.085449,tau_swap^(1/M),8.0,100,464.7,0.075449,35.06,True,1.0,0.85,0.9613421811282896
0.085449,tau_swap^(1/M),15.0,100,464.7,0.075449,35.06,True,1.0,0.75,0.8955500919370113
0.085449,tau_swap^(1/M),25.0,100,464.7,0.075449,35.06,True,1.0,0.59,0.8562615861796132
0.085449,tau_swap^(1/M),50.0,100,464.7,0.075449,35.06,False,1.0,0.24,0.6698968343882248
0.085449,tau_erase (argmax A_unrefl),8.0,100,1095.9,0.075449,82.69,True,1.0,1.0,1.0
0.085449,tau_erase (argmax A_unrefl),15.0,100,1095.9,0.075449,82.69,True,1.0,1.0,1.0
0.085449,tau_erase (argmax A_unrefl),25.0,100,1095.9,0.075449,82.69,True,1.0,0.97,1.0
0.085449,tau_erase (argmax A_unrefl),50.0,100,1095.9,0.075449,82.69,True,1.0,0.79,1.0
0.085449,tau_err(0.10),8.0,100,972.6,0.075449,73.38,True,1.0,1.0,1.0
0.085449,tau_err(0.10),15.0,100,972.6,0.075449,73.38,True,1.0,1.0,1.0
0.085449,tau_err(0.10),25.0,100,972.6,0.075449,73.38,True,1.0,1.0,1.0
0.085449,tau_err(0.10),50.0,100,972.6,0.075449,73.38,True,1.0,0.84,1.0
0.140949,tau_swap^(1/M),8.0,100,361.8,0.130949,47.38,True,1.0,0.94,0.9720508118153748
0.140949,tau_swap^(1/M),15.0,100,361.8,0.130949,47.38,True,1.0,0.87,0.95018781528726
