delta_e,W_estimator,W_mean,mu,mu_W,fluctuation_margin,lambda_starve
0.028186,tau_swap^(1/M),171.05,0.018186,3.11,26.38,29.49
0.028186,tau_erase (argmax A_unrefl),709.19,0.018186,12.9,58.22,71.12
0.028186,tau_err(0.10),733.26,0.018186,13.34,59.31,72.64
0.085449,tau_swap^(1/M),464.69,0.075449,35.06,46.08,81.14
0.085449,tau_erase (argmax A_unrefl),1095.91,0.075449,82.69,74.01,156.69
0.085449,tau_err(0.10),972.57,0.075449,73.38,69.3,142.68
0.140949,tau_swap^(1/M),361.8,0.130949,47.38,40.1,87.47
0.140949,tau_erase (argmax A_unrefl),992.63,0.130949,129.98,70.08,200.07
0.140949,tau_err(0.10),875.05,0.130949,114.59,65.38,179.97
0.193621,tau_swap^(1/M),183.67,0.183621,33.73,27.46,61.18
0.193621,tau_erase (argmax A_unrefl),988.69,0.183621,181.54,69.93,251.47
0.193621,tau_err(0.10),756.06,0.183621,138.83,60.32,199.15
0.242568,tau_swap^(1/M),107.6,0.232568,25.02,20.32,45.34
0.242568,tau_erase (argmax A_unrefl),728.39,0.232568,169.4,59.09,228.49
0.242568,tau_err(0.10),626.14,0.232568,145.62,54.35,199.97
0.287108,tau_swap^(1/M),71.97,0.277108,19.94,16.18,36.12
0.287108,tau_erase (argmax A_unrefl),748.18,0.277108,207.33,59.97,267.3
0.287108,tau_err(0.10),578.41,0.277108,160.28,52.02,212.3
0.326793,tau_swap^(1/M),57.38,0.316793,18.18,14.22,32.39
0.326793,tau_erase (argmax A_unrefl),611.87,0.316793,193.84,53.66,247.5
0.326793,tau_err(0.10),556.99,0.316793,176.45,50.94,227.39
0.361418,tau_swap^(1/M),49.37,0.351418,17.35,13.05,30.4
0.361418,tau_erase (argmax A_unrefl),554.24,0.351418,194.77,50.8,245.57
0.361418,tau_err(0.10),533.57,0.351418,187.51,49.74,237.25
0.390998,tau_swap^(1/M),43.91,0.380998,16.73,12.2,28.93
0.390998,tau_erase (argmax A_unrefl),473.64,0.380998,180.46,46.57,227.02
0.390998,tau_err(0.10),505.23,0.380998,192.49,48.26,240.75
0.415743,tau_swap^(1/M),41.13,0.405743,16.69,11.75,28.44
0.415743,tau_erase (argmax A_unrefl),438.38,0.405743,177.87,44.61,222.48
0.415743,tau_err(0.10),498.4,0.405743,202.22,47.9,250.12
0.436013,tau_swap^(1/M),37.54,0.426013,15.99,11.15,27.14
0.436013,tau_erase (argmax A_unrefl),371.86,0.426013,158.42,40.71,199.13
0.436013,tau_err(0.10),477.28,0.426013,203.33,46.76,250.09
0.452271,tau_swap^(1/M),35.27,0.442271,15.6,10.75,26.35
0.452271,tau_erase (argmax A_unrefl),312.76,0.442271,138.32,36.97,175.3
0.452271,tau_err(0.10),430.98,0.442271,190.61,44.19,234.8
0.46504,tau_swap^(1/M),34.29,0.45504,15.6,10.58,26.18
0.46504,tau_erase (argmax A_unrefl),216.3,0.45504,98.43,30.09,128.52
0.46504,tau_err(0.10),403.94,0.45504,183.81,42.63,226.44
0.47486,tau_swap^(1/M),33.69,0.46486,15.66,10.47,26.14
0.47486,tau_erase (argmax A_unrefl),155.09,0.46486,72.1,24.97,97.06
0.47486,tau_err(0.10),371.81,0.46486,172.84,40.71,213.55
0.482255,tau_swap^(1/M),33.09,0.472255,15.63,10.37,25.99
0.482255,tau_erase (argmax A_unrefl),98.43,0.472255,46.48,19.32,65.81
0.482255,tau_err(0.10),345.87,0.472255,163.34,39.1,202.44
0.487707,tau_swap^(1/M),32.23,0.477707,15.4,10.21,25.61
0.487707,tau_erase (argmax A_unrefl),72.53,0.477707,34.65,16.25,50.9
0.487707,tau_err(0.10),338.38,0.477707,161.65,38.63,200.28
0.491644,tau_swap^(1/M),31.8,0.481644,15.32,10.13,25.45
0.491644,tau_erase (argmax A_unrefl),61.01,0.481644,29.39,14.72,44.11
0.491644,tau_err(0.10),332.64,0.481644,160.21,38.26,198.48
0.494428,tau_swap^(1/M),31.41,0.484428,15.22,10.06,25.27
0.494428,tau_erase (argmax A_unrefl),55.64,0.484428,26.95,13.97,40.92
0.494428,tau_err(0.10),331.26,0.484428,160.47,38.17,198.65
0.496355,tau_swap^(1/M),31.29,0.486355,15.22,10.04,25.25
0.496355,tau_erase (argmax A_unrefl),49.13,0.486355,23.89,13.01,36.9
0.496355,tau_err(0.10),330.04,0.486355,160.52,38.1,198.61
0.497661,tau_swap^(1/M),31.19,0.487661,15.21,10.02,25.23
0.497661,tau_erase (argmax A_unrefl),47.61,0.487661,23.22,12.78,36.0
0.497661,tau_err(0.10),329.53,0.487661,160.7,38.06,198.76
