delta_e,lambda,mu,W_mean_censored_at_horizon,censoring_fraction,bound_deterministic_W,bound_plugin,bound_parametric,gap_plugin_over_deterministic,vacant_deterministic,vacant_plugin,vacant_parametric
0.028186,8.0,0.018186,2244.7,0.2703,1.0,1.0,0.9994047259166539,1.0,True,True,False
0.028186,15.0,0.018186,2244.7,0.2703,1.0,1.0,0.9901936191450802,1.0,True,True,False
0.028186,25.0,0.018186,2244.7,0.2703,1.0,1.0,0.9487236731273878,1.0,True,True,False
0.028186,50.0,0.018186,2244.7,0.2703,1.0,1.0,0.7525704690571821,1.0,True,True,False
0.085449,8.0,0.075449,2163.6,0.24,1.0,1.0,0.9997693199633423,1.0,True,True,False
0.085449,15.0,0.075449,2163.6,0.24,1.0,1.0,0.9977899039419944,1.0,True,True,False
0.085449,25.0,0.075449,2163.6,0.24,1.0,1.0,0.9902272285590565,1.0,True,True,False
0.085449,50.0,0.075449,2163.6,0.24,1.0,1.0,0.9607949378049919,1.0,True,True,False
0.140949,8.0,0.130949,2129.2,0.24,1.0,1.0,0.999964957169255,1.0,True,True,False
0.140949,15.0,0.130949,2129.2,0.24,1.0,1.0,0.999333117277698,1.0,True,True,False
0.140949,25.0,0.130949,2129.2,0.24,1.0,1.0,0.9968238325666324,1.0,True,True,False
0.140949,50.0,0.130949,2129.2,0.24,1.0,1.0,0.9852696317120803,1.0,True,True,False
0.193621,8.0,0.183621,2273.4,0.35,1.0,1.0,0.9999794815838642,1.0,True,True,False
0.193621,15.0,0.183621,2273.4,0.35,1.0,1.0,0.9996919243726096,1.0,True,True,False
0.193621,25.0,0.183621,2273.4,0.35,1.0,1.0,0.9982765598909801,1.0,True,True,False
0.193621,50.0,0.183621,2273.4,0.35,1.0,1.0,0.9914086028076018,1.0,True,True,False
0.242568,8.0,0.232568,2155.2,0.23,1.0,1.0,0.9999982878022715,1.0,True,True,False
0.242568,15.0,0.232568,2155.2,0.23,1.0,1.0,0.9999644588507549,1.0,True,True,False
0.242568,25.0,0.232568,2155.2,0.23,1.0,1.0,0.9995987420516932,1.0,True,True,False
