variant,seed,pipeline,lambda,lambda_role,F1_bp,F1_fm,ADD_bp,ADD_fm,n_detections,TP_bp,FP_bp,precision_bp,recall_bp,n_valid_drifts,e_pre_span,e_post,alarms_pre_change
abrupt_balanced,76953952,pht_arf_c1,8.0,grid,0.016025641025641024,0.016025641025641024,10.4,10.4,619,5,614,0.008077544426494346,1.0,5,0.4792677547419497,0.46393038056890507,108
abrupt_balanced,110020020,pht_arf_c1,8.0,grid,0.01639344262295082,0.01639344262295082,9.2,9.2,605,5,600,0.008264462809917356,1.0,5,0.4768416409351566,0.47598389401220936,101
abrupt_balanced,168388230,pht_arf_c1,8.0,grid,0.01564945226917058,0.01564945226917058,9.0,9.0,634,5,629,0.007886435331230283,1.0,5,0.49779444199382444,0.48250422132744514,110
abrupt_balanced,176092387,pht_arf_c1,8.0,grid,0.015600624024960999,0.015600624024960999,8.6,8.6,636,5,631,0.007861635220125786,1.0,5,0.4997794441993824,0.5023509546694376,107
abrupt_balanced,176623029,pht_arf_c1,8.0,grid,0.015772870662460567,0.015772870662460567,8.8,8.8,629,5,624,0.00794912559618442,1.0,5,0.48985443317159244,0.48021821015716326,113
abrupt_balanced,232150720,pht_arf_c1,8.0,grid,0.015923566878980888,0.015923566878980888,10.2,10.2,623,5,618,0.008025682182985553,1.0,5,0.49481693868548743,0.48585530588388104,108
abrupt_balanced,233227757,pht_arf_c1,8.0,grid,0.01607717041800643,0.01607717041800643,9.4,9.4,617,5,612,0.008103727714748784,1.0,5,0.4836788707543008,0.4695934536952851,114
abrupt_balanced,398083709,pht_arf_c1,8.0,grid,0.015197568389057753,0.015197568389057753,10.0,10.0,653,5,648,0.007656967840735069,1.0,5,0.5106969563299515,0.4972853617352903,116
abrupt_balanced,536987301,pht_arf_c1,8.0,grid,0.015698587127158554,0.015698587127158554,8.8,8.8,632,5,627,0.007911392405063292,1.0,5,0.5121305690339656,0.5114430445512405,109
abrupt_balanced,569531098,pht_arf_c1,8.0,grid,0.01631321370309951,0.01631321370309951,9.0,9.0,608,5,603,0.008223684210526315,1.0,5,0.5101455668284076,0.5008182880893622,108
abrupt_balanced,570914454,pht_arf_c1,8.0,grid,0.015408320493066254,0.015408320493066254,12.4,12.4,644,5,639,0.007763975155279503,1.0,5,0.4939347154830172,0.47988050396155346,115
abrupt_balanced,592703045,pht_arf_c1,8.0,grid,0.01567398119122257,0.01567398119122257,10.8,10.8,633,5,628,0.007898894154818325,1.0,5,0.4727613586237318,0.4686842447071048,108
abrupt_balanced,609942288,pht_arf_c1,8.0,grid,0.016025641025641024,0.016025641025641024,9.6,9.6,619,5,614,0.008077544426494346,1.0,5,0.47033524481693867,0.47865956617742567,105
abrupt_balanced,612016888,pht_arf_c1,8.0,grid,0.01582278481012658,0.01582278481012658,10.4,10.4,627,5,622,0.007974481658692184,1.0,5,0.4804808116453463,0.48655669567476295,105
abrupt_balanced,829139639,pht_arf_c1,8.0,grid,0.01564945226917058,0.01564945226917058,10.8,10.8,634,5,629,0.007886435331230283,1.0,5,0.45897662108513454,0.4529419405117548,107
abrupt_balanced,877132087,pht_arf_c1,8.0,grid,0.01612903225806452,0.01612903225806452,9.0,9.0,615,5,610,0.008130081300813009,1.0,5,0.4723202470224967,0.46432004156383944,103
