Calibration,Detector,Clock,Dataset,w,Seed,lambda,lambda_role,ADD,F1,precision,recall,TP,FP,FN,n_detections
Cal. A,PHT + ARF,1,BWX->PFF,500,1,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,2,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,3,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,4,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,5,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,6,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,7,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,8,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,9,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,10,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,11,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,12,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,13,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,14,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,15,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,16,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,17,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,18,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,19,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,20,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,21,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
Cal. A,PHT + ARF,1,BWX->PFF,500,22,1.000014871,lambda_eq,2.0,0.014814814814814815,0.007462686567164179,1.0,1,133,0,134
