boundary_shift,delta_e,lambda,M,tau_det_star,n_hat,censored_frac_hat,F_hat,bound_boole,bound_jensen,measured_pmiss,measured_source,measured_n,measured_wilson_lo,measured_wilson_hi,censored_frac_arf,min_tau_hat,min_tau_arf
0.1,0.0282,8.0,1,439.9,100,0.03,0.19,0.19,0.19,0.19,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.1,0.0282,8.0,2,439.9,100,0.03,0.19,0.38,0.3439,,,0,,,0.0,4.0,5.0
0.1,0.0282,8.0,3,439.9,100,0.03,0.19,0.57,0.468559,,,0,,,0.0,4.0,5.0
0.1,0.0282,8.0,5,439.9,100,0.03,0.19,0.95,0.651322,,,0,,,0.0,4.0,5.0
0.1,0.0282,8.0,10,439.9,100,0.03,0.19,1.0,0.878423,0.93,R2_A tau_arf,100,0.8625,0.9657,0.0,4.0,5.0
0.1,0.0282,8.0,20,439.9,100,0.03,0.19,1.0,0.985219,,,0,,,0.0,4.0,5.0
0.1,0.0282,8.0,50,439.9,100,0.03,0.19,1.0,0.999973,,,0,,,0.0,4.0,5.0
0.1,0.0282,15.0,1,824.81,100,0.03,0.36,0.36,0.36,0.36,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.1,0.0282,15.0,2,824.81,100,0.03,0.36,0.72,0.5904,,,0,,,0.0,4.0,5.0
0.1,0.0282,15.0,3,824.81,100,0.03,0.36,1.0,0.737856,,,0,,,0.0,4.0,5.0
0.1,0.0282,15.0,5,824.81,100,0.03,0.36,1.0,0.892626,,,0,,,0.0,4.0,5.0
0.1,0.0282,15.0,10,824.81,100,0.03,0.36,1.0,0.988471,1.0,R2_A tau_arf,100,0.963,1.0,0.0,4.0,5.0
0.1,0.0282,15.0,20,824.81,100,0.03,0.36,1.0,0.999867,,,0,,,0.0,4.0,5.0
0.1,0.0282,15.0,50,824.81,100,0.03,0.36,1.0,1.0,,,0,,,0.0,4.0,5.0
0.1,0.0282,25.0,1,1374.68,100,0.03,0.57,0.57,0.57,0.57,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.1,0.0282,25.0,2,1374.68,100,0.03,0.57,1.0,0.8151,,,0,,,0.0,4.0,5.0
0.1,0.0282,25.0,3,1374.68,100,0.03,0.57,1.0,0.920493,,,0,,,0.0,4.0,5.0
0.1,0.0282,25.0,5,1374.68,100,0.03,0.57,1.0,0.985299,,,0,,,0.0,4.0,5.0
0.1,0.0282,25.0,10,1374.68,100,0.03,0.57,1.0,0.999784,1.0,R2_A tau_arf,100,0.963,1.0,0.0,4.0,5.0
0.1,0.0282,25.0,20,1374.68,100,0.03,0.57,1.0,1.0,,,0,,,0.0,4.0,5.0
0.1,0.0282,25.0,50,1374.68,100,0.03,0.57,1.0,1.0,,,0,,,0.0,4.0,5.0
0.1,0.0282,50.0,1,2749.37,100,0.03,0.89,0.89,0.89,0.89,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.1,0.0282,50.0,2,2749.37,100,0.03,0.89,1.0,0.9879,,,0,,,0.0,4.0,5.0
0.1,0.0282,50.0,3,2749.37,100,0.03,0.89,1.0,0.998669,,,0,,,0.0,4.0,5.0
0.1,0.0282,50.0,5,2749.37,100,0.03,0.89,1.0,0.999984,,,0,,,0.0,4.0,5.0
0.1,0.0282,50.0,10,2749.37,100,0.03,0.89,1.0,1.0,1.0,R2_A tau_arf,100,0.963,1.0,0.0,4.0,5.0
0.1,0.0282,50.0,20,2749.37,100,0.03,0.89,1.0,1.0,,,0,,,0.0,4.0,5.0
0.1,0.0282,50.0,50,2749.37,100,0.03,0.89,1.0,1.0,,,0,,,0.0,4.0,5.0
0.305263,0.0854,8.0,1,106.03,100,0.13,0.03,0.03,0.03,0.03,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.305263,0.0854,8.0,2,106.03,100,0.13,0.03,0.06,0.0591,,,0,,,0.0,4.0,5.0
0.305263,0.0854,8.0,3,106.03,100,0.13,0.03,0.09,0.087327,,,0,,,0.0,4.0,5.0
0.305263,0.0854,8.0,5,106.03,100,0.13,0.03,0.15,0.141266,,,0,,,0.0,4.0,5.0
0.305263,0.0854,8.0,10,106.03,100,0.13,0.03,0.3,0.262576,0.17,R2_A tau_arf,100,0.1089,0.2555,0.0,4.0,5.0
0.305263,0.0854,8.0,20,106.03,100,0.13,0.03,0.6,0.456206,,,0,,,0.0,4.0,5.0
0.305263,0.0854,8.0,50,106.03,100,0.13,0.03,1.0,0.781935,,,0,,,0.0,4.0,5.0
0.305263,0.0854,15.0,1,198.81,100,0.13,0.03,0.03,0.03,0.03,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.305263,0.0854,15.0,2,198.81,100,0.13,0.03,0.06,0.0591,,,0,,,0.0,4.0,5.0
0.305263,0.0854,15.0,3,198.81,100,0.13,0.03,0.09,0.087327,,,0,,,0.0,4.0,5.0
0.305263,0.0854,15.0,5,198.81,100,0.13,0.03,0.15,0.141266,,,0,,,0.0,4.0,5.0
0.305263,0.0854,15.0,10,198.81,100,0.13,0.03,0.3,0.262576,0.3,R2_A tau_arf,100,0.2189,0.3958,0.0,4.0,5.0
0.305263,0.0854,15.0,20,198.81,100,0.13,0.03,0.6,0.456206,,,0,,,0.0,4.0,5.0
0.305263,0.0854,15.0,50,198.81,100,0.13,0.03,1.0,0.781935,,,0,,,0.0,4.0,5.0
0.305263,0.0854,25.0,1,331.35,100,0.13,0.06,0.06,0.06,0.06,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.305263,0.0854,25.0,2,331.35,100,0.13,0.06,0.12,0.1164,,,0,,,0.0,4.0,5.0
0.305263,0.0854,25.0,3,331.35,100,0.13,0.06,0.18,0.169416,,,0,,,0.0,4.0,5.0
0.305263,0.0854,25.0,5,331.35,100,0.13,0.06,0.3,0.266096,,,0,,,0.0,4.0,5.0
0.305263,0.0854,25.0,10,331.35,100,0.13,0.06,0.6,0.461385,0.45,R2_A tau_arf,100,0.3561,0.5476,0.0,4.0,5.0
0.305263,0.0854,25.0,20,331.35,100,0.13,0.06,1.0,0.709894,,,0,,,0.0,4.0,5.0
0.305263,0.0854,25.0,50,331.35,100,0.13,0.06,1.0,0.954669,,,0,,,0.0,4.0,5.0
0.305263,0.0854,50.0,1,662.7,100,0.13,0.1,0.1,0.1,0.1,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.305263,0.0854,50.0,2,662.7,100,0.13,0.1,0.2,0.19,,,0,,,0.0,4.0,5.0
0.305263,0.0854,50.0,3,662.7,100,0.13,0.1,0.3,0.271,,,0,,,0.0,4.0,5.0
0.305263,0.0854,50.0,5,662.7,100,0.13,0.1,0.5,0.40951,,,0,,,0.0,4.0,5.0
0.305263,0.0854,50.0,10,662.7,100,0.13,0.1,1.0,0.651322,0.76,R2_A tau_arf,100,0.6677,0.8331,0.0,4.0,5.0
0.305263,0.0854,50.0,20,662.7,100,0.13,0.1,1.0,0.878423,,,0,,,0.0,4.0,5.0
0.305263,0.0854,50.0,50,662.7,100,0.13,0.1,1.0,0.994846,,,0,,,0.0,4.0,5.0
0.510526,0.1409,8.0,1,61.09,100,0.01,0.02,0.02,0.02,0.02,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.510526,0.1409,8.0,2,61.09,100,0.01,0.02,0.04,0.0396,,,0,,,0.0,4.0,5.0
0.510526,0.1409,8.0,3,61.09,100,0.01,0.02,0.06,0.058808,,,0,,,0.0,4.0,5.0
0.510526,0.1409,8.0,5,61.09,100,0.01,0.02,0.1,0.096079,,,0,,,0.0,4.0,5.0
0.510526,0.1409,8.0,10,61.09,100,0.01,0.02,0.2,0.182927,0.04,R2_A tau_arf,100,0.0157,0.0984,0.0,4.0,5.0
0.510526,0.1409,8.0,20,61.09,100,0.01,0.02,0.4,0.332392,,,0,,,0.0,4.0,5.0
0.510526,0.1409,8.0,50,61.09,100,0.01,0.02,1.0,0.63583,,,0,,,0.0,4.0,5.0
0.510526,0.1409,15.0,1,114.55,100,0.01,0.02,0.02,0.02,0.02,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.510526,0.1409,15.0,2,114.55,100,0.01,0.02,0.04,0.0396,,,0,,,0.0,4.0,5.0
0.510526,0.1409,15.0,3,114.55,100,0.01,0.02,0.06,0.058808,,,0,,,0.0,4.0,5.0
0.510526,0.1409,15.0,5,114.55,100,0.01,0.02,0.1,0.096079,,,0,,,0.0,4.0,5.0
0.510526,0.1409,15.0,10,114.55,100,0.01,0.02,0.2,0.182927,0.13,R2_A tau_arf,100,0.0776,0.2098,0.0,4.0,5.0
0.510526,0.1409,15.0,20,114.55,100,0.01,0.02,0.4,0.332392,,,0,,,0.0,4.0,5.0
0.510526,0.1409,15.0,50,114.55,100,0.01,0.02,1.0,0.63583,,,0,,,0.0,4.0,5.0
0.510526,0.1409,25.0,1,190.91,100,0.01,0.02,0.02,0.02,0.02,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.510526,0.1409,25.0,2,190.91,100,0.01,0.02,0.04,0.0396,,,0,,,0.0,4.0,5.0
0.510526,0.1409,25.0,3,190.91,100,0.01,0.02,0.06,0.058808,,,0,,,0.0,4.0,5.0
0.510526,0.1409,25.0,5,190.91,100,0.01,0.02,0.1,0.096079,,,0,,,0.0,4.0,5.0
0.510526,0.1409,25.0,10,190.91,100,0.01,0.02,0.2,0.182927,0.29,R2_A tau_arf,100,0.2101,0.3854,0.0,4.0,5.0
0.510526,0.1409,25.0,20,190.91,100,0.01,0.02,0.4,0.332392,,,0,,,0.0,4.0,5.0
0.510526,0.1409,25.0,50,190.91,100,0.01,0.02,1.0,0.63583,,,0,,,0.0,4.0,5.0
0.510526,0.1409,50.0,1,381.83,100,0.01,0.12,0.12,0.12,0.12,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.510526,0.1409,50.0,2,381.83,100,0.01,0.12,0.24,0.2256,,,0,,,0.0,4.0,5.0
0.510526,0.1409,50.0,3,381.83,100,0.01,0.12,0.36,0.318528,,,0,,,0.0,4.0,5.0
0.510526,0.1409,50.0,5,381.83,100,0.01,0.12,0.6,0.472268,,,0,,,0.0,4.0,5.0
0.510526,0.1409,50.0,10,381.83,100,0.01,0.12,1.0,0.721499,0.65,R2_A tau_arf,100,0.5525,0.7364,0.0,4.0,5.0
0.510526,0.1409,50.0,20,381.83,100,0.01,0.12,1.0,0.922437,,,0,,,0.0,4.0,5.0
0.510526,0.1409,50.0,50,381.83,100,0.01,0.12,1.0,0.998325,,,0,,,0.0,4.0,5.0
0.715789,0.1936,8.0,1,43.57,100,0.0,0.01,0.01,0.01,0.01,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.715789,0.1936,8.0,2,43.57,100,0.0,0.01,0.02,0.0199,,,0,,,0.0,4.0,5.0
0.715789,0.1936,8.0,3,43.57,100,0.0,0.01,0.03,0.029701,,,0,,,0.0,4.0,5.0
0.715789,0.1936,8.0,5,43.57,100,0.0,0.01,0.05,0.04901,,,0,,,0.0,4.0,5.0
0.715789,0.1936,8.0,10,43.57,100,0.0,0.01,0.1,0.095618,0.04,R2_A tau_arf,100,0.0157,0.0984,0.0,4.0,5.0
0.715789,0.1936,8.0,20,43.57,100,0.0,0.01,0.2,0.182093,,,0,,,0.0,4.0,5.0
0.715789,0.1936,8.0,50,43.57,100,0.0,0.01,0.5,0.394994,,,0,,,0.0,4.0,5.0
0.715789,0.1936,15.0,1,81.69,100,0.0,0.02,0.02,0.02,0.02,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.715789,0.1936,15.0,2,81.69,100,0.0,0.02,0.04,0.0396,,,0,,,0.0,4.0,5.0
0.715789,0.1936,15.0,3,81.69,100,0.0,0.02,0.06,0.058808,,,0,,,0.0,4.0,5.0
0.715789,0.1936,15.0,5,81.69,100,0.0,0.02,0.1,0.096079,,,0,,,0.0,4.0,5.0
0.715789,0.1936,15.0,10,81.69,100,0.0,0.02,0.2,0.182927,0.13,R2_A tau_arf,100,0.0776,0.2098,0.0,4.0,5.0
0.715789,0.1936,15.0,20,81.69,100,0.0,0.02,0.4,0.332392,,,0,,,0.0,4.0,5.0
0.715789,0.1936,15.0,50,81.69,100,0.0,0.02,1.0,0.63583,,,0,,,0.0,4.0,5.0
0.715789,0.1936,25.0,1,136.15,100,0.0,0.08,0.08,0.08,0.08,R6 tau_hat (identity),100,,,0.0,4.0,5.0
0.715789,0.1936,25.0,2,136.15,100,0.0,0.08,0.16,0.1536,,,0,,,0.0,4.0,5.0
0.715789,0.1936,25.0,3,136.15,100,0.0,0.08,0.24,0.221312,,,0,,,0.0,4.0,5.0
0.715789,0.1936,25.0,5,136.15,100,0.0,0.08,0.4,0.340918,,,0,,,0.0,4.0,5.0
0.715789,0.1936,25.0,10,136.15,100,0.0,0.08,0.8,0.565612,0.48,R2_A tau_arf,100,0.3846,0.5768,0.0,4.0,5.0
0.715789,0.1936,25.0,20,136.15,100,0.0,0.08,1.0,0.811307,,,0,,,0.0,4.0,5.0
0.715789,0.1936,25.0,50,136.15,100,0.0,0.08,1.0,0.984534,,,0,,,0.0,4.0,5.0
0.715789,0.1936,50.0,1,272.3,100,0.0,0.23,0.23,0.23,0.23,R6 tau_hat (identity),100,,,0.0,4.0,5.0
