scenario,lambda,boundary_shift,delta_e,t,n,cif_arf,cif_arf_lo,cif_arf_hi,cif_det,cif_det_lo,cif_det_hi,unresolved_at_t,detector_fired_ever_frac,detector_won_frac,censored_frac
A,50.0,0.1,0.0282,25,100,0.12,0.06,0.19,0.0,0.0,0.0,0.88,0.0,0.0,0.0
A,50.0,0.1,0.0282,50,100,0.2,0.13,0.28,0.0,0.0,0.0,0.8,0.0,0.0,0.0
A,50.0,0.1,0.0282,100,100,0.43,0.33,0.53,0.0,0.0,0.0,0.57,0.0,0.0,0.0
A,50.0,0.1,0.0282,200,100,0.65,0.55,0.74,0.0,0.0,0.0,0.35,0.0,0.0,0.0
A,50.0,0.1,0.0282,400,100,0.9,0.84,0.95,0.0,0.0,0.0,0.1,0.0,0.0,0.0
A,50.0,0.1,0.0282,800,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,0.1,0.0282,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,0.1,0.0282,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,0.305263,0.0854,25,100,0.07,0.03,0.12,0.0,0.0,0.0,0.93,0.0,0.0,0.0
A,50.0,0.305263,0.0854,50,100,0.07,0.03,0.12,0.0,0.0,0.0,0.93,0.0,0.0,0.0
A,50.0,0.305263,0.0854,100,100,0.17,0.1,0.2402,0.0,0.0,0.0,0.83,0.0,0.0,0.0
A,50.0,0.305263,0.0854,200,100,0.3,0.21,0.39,0.0,0.0,0.0,0.7,0.0,0.0,0.0
A,50.0,0.305263,0.0854,400,100,0.49,0.39,0.59,0.0,0.0,0.0,0.51,0.0,0.0,0.0
A,50.0,0.305263,0.0854,800,100,0.88,0.81,0.94,0.0,0.0,0.0,0.12,0.0,0.0,0.0
A,50.0,0.305263,0.0854,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,0.305263,0.0854,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,50.0,0.510526,0.1409,25,100,0.02,0.0,0.05,0.0,0.0,0.0,0.98,0.01,0.0,0.0
A,50.0,0.510526,0.1409,50,100,0.04,0.01,0.08,0.0,0.0,0.0,0.96,0.01,0.0,0.0
A,50.0,0.510526,0.1409,100,100,0.12,0.06,0.19,0.0,0.0,0.0,0.88,0.01,0.0,0.0
A,50.0,0.510526,0.1409,200,100,0.32,0.23,0.41,0.0,0.0,0.0,0.68,0.01,0.0,0.0
A,50.0,0.510526,0.1409,400,100,0.68,0.59,0.77,0.0,0.0,0.0,0.32,0.01,0.0,0.0
A,50.0,0.510526,0.1409,800,100,0.9,0.84,0.95,0.0,0.0,0.0,0.1,0.01,0.0,0.0
A,50.0,0.510526,0.1409,1600,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
A,50.0,0.510526,0.1409,4000,100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
A,50.0,0.715789,0.1936,25,100,0.01,0.0,0.03,0.0,0.0,0.0,0.99,0.03,0.0,0.0
A,50.0,0.715789,0.1936,50,100,0.05,0.01,0.1,0.0,0.0,0.0,0.95,0.03,0.0,0.0
