boundary_shift,delta_e,n_complete,mean_tau_hat,ks_stat,p_bootstrap,rejects_exponential_at_005
0.1,0.0282,97,1296.74,0.152898,0.0015,True
0.305263,0.0854,87,1767.17,0.207447,0.0,True
0.510526,0.1409,99,1501.65,0.1849,0.0,True
0.715789,0.1936,100,1108.59,0.146875,0.001,True
0.921053,0.2426,100,799.21,0.134853,0.003,True
1.126316,0.2871,100,561.67,0.167994,0.0,True
1.331579,0.3268,100,463.15,0.228594,0.0,True
1.536842,0.3614,100,383.33,0.280396,0.0,True
1.742105,0.391,100,319.9,0.315855,0.0,True
1.947368,0.4157,100,256.83,0.27165,0.0,True
2.152632,0.436,99,216.81,0.303691,0.0,True
2.357895,0.4523,100,203.86,0.290589,0.0,True
2.563158,0.465,100,183.4,0.269473,0.0,True
2.768421,0.4749,100,170.38,0.272674,0.0,True
2.973684,0.4823,100,153.34,0.246186,0.0,True
3.178947,0.4877,100,148.9,0.261944,0.0,True
3.384211,0.4916,100,154.6,0.275309,0.0,True
3.589474,0.4944,100,148.51,0.264284,0.0,True
3.794737,0.4964,100,154.83,0.275712,0.0,True
4.0,0.4977,100,141.29,0.250253,0.0,True
