delta_e,n_runs,n_complete_q100,censored_frac_q100,E_tau_first_measured,E_tau_hat_restricted,E_min10_model_from_Fhat,accel_order_only,E_tau_last_measured,E_tau_last_model_from_Fhat,marginal_mismatch_last,rho_hat_moments,M_eff_moments,M_eff_moments_censored,M_eff_direct,agreement_ratio,agree_under_D4,hydra_rmst_ratio,hydra_ci_lo,hydra_ci_hi,hydra_median_ratio,accel_residual_over_order
0.0282,100,75,0.25,171.05,1377.84,194.65,7.0784,2891.27,3141.59,1.0866,0.009,9.25,10.9033,11.2776,1.2192,True,8.0397,6.5077,9.9755,10.354,1.1358
0.0854,100,57,0.43,464.69,2057.44,457.79,4.4943,3575.34,3854.63,1.0781,-0.0206,12.2787,14.1871,9.8145,1.2511,True,4.8056,4.0512,5.7319,4.6692,1.0693
0.1409,100,86,0.14,361.8,1526.63,315.91,4.8325,3063.78,3112.84,1.016,0.0188,8.5498,8.9146,8.3794,1.0203,True,4.1175,3.4486,4.9588,5.3234,0.852
0.1936,100,100,0.0,183.67,1108.59,147.75,7.5032,2334.67,2332.03,0.9989,0.0268,8.0556,8.0556,7.7655,1.0374,True,5.7652,4.5296,7.3637,7.5734,0.7684
0.2426,100,99,0.01,107.6,799.21,87.1,9.1755,1880.46,1914.6,1.0182,0.0119,9.0314,9.3764,7.4333,1.215,True,7.7631,6.351,9.4196,8.8409,0.8461
0.2871,100,97,0.03,71.97,561.67,60.85,9.2301,1696.48,1410.08,0.8312,0.0173,8.6503,9.1399,7.1287,1.2135,True,7.515,6.198,8.9304,6.5821,0.8142
0.3268,100,98,0.02,57.38,463.15,50.21,9.2249,1458.72,1326.71,0.9095,0.0102,9.1616,8.6987,6.9941,1.3099,True,7.9909,6.3996,9.719,3.0962,0.8662
0.3614,100,96,0.04,49.37,383.33,43.64,8.7833,1382.83,1212.23,0.8766,0.0348,7.6157,6.8441,6.6439,1.1463,True,7.9562,6.3079,9.723,2.2609,0.9058
0.391,100,97,0.03,43.91,319.9,37.73,8.4798,1200.56,1251.35,1.0423,0.0125,8.9858,7.9267,5.8703,1.5307,False,7.4051,5.3805,9.8163,2.122,0.8733
0.4157,100,89,0.11,41.13,256.83,34.14,7.5221,1286.39,1000.82,0.778,0.0348,7.616,6.2881,5.2673,1.4459,True,6.4676,4.7104,8.5013,2.3056,0.8598
0.436,100,91,0.09,37.54,254.64,31.61,8.0556,1115.06,1231.85,1.1047,0.0204,8.4464,6.0267,5.2631,1.6048,False,6.9309,4.3377,10.3092,1.8286,0.8604
0.4523,100,90,0.1,35.27,203.86,30.65,6.6503,1133.69,852.3,0.7518,0.0526,6.7883,5.989,5.7573,1.1791,True,5.8163,4.0078,8.0646,1.9394,0.8746
0.465,100,89,0.11,34.29,183.4,29.45,6.2271,1085.89,735.4,0.6772,0.0359,7.5569,5.6835,5.5102,1.3714,True,5.4325,3.8199,7.5048,1.8387,0.8724
0.4749,100,86,0.14,33.69,170.38,28.53,5.9727,1072.96,685.51,0.6389,-0.007,10.6757,5.3552,5.1387,2.0775,False,5.257,3.7901,7.1447,1.7667,0.8802
0.4823,100,87,0.13,33.09,153.34,27.91,5.4942,1030.82,570.08,0.553,0.0335,7.6859,5.2515,5.0223,1.5303,False,4.8556,3.5937,6.3776,1.8276,0.8838
0.4877,100,87,0.13,32.23,148.9,27.39,5.4353,1000.15,528.44,0.5284,0.0383,7.4362,5.1278,5.1203,1.4523,True,4.7909,3.6708,6.1013,1.8571,0.8814
0.4916,100,89,0.11,31.8,154.6,27.27,5.6686,936.31,601.3,0.6422,0.0369,7.507,5.0934,5.2593,1.4274,True,5.0049,3.6535,6.7668,1.8214,0.8829
0.4944,100,86,0.14,31.41,148.51,27.07,5.487,998.65,560.39,0.5611,-0.0203,12.2306,5.0905,5.3115,2.3027,False,4.8612,3.5832,6.4654,1.8214,0.886
0.4964,100,87,0.13,31.29,154.83,26.76,5.7861,992.44,592.87,0.5974,-0.0085,10.8279,5.2048,5.2515,2.0619,False,5.0831,3.7389,6.631,1.7857,0.8785
0.4977,100,87,0.13,31.19,141.29,26.76,5.2801,981.1,482.32,0.4916,-0.0101,11.0024,5.1622,5.2903,2.0797,False,4.6492,3.5926,5.7956,1.7857,0.8805
