delta_e,n,p0_hat_median,s_max_median,s_max_q05,s_max_q95,cross_rate_lambda15,cross_rate_lambda50,delta_p,window,arm
0.028186,100,0.024,5.11,3.128,8.934,0.0,0.0,0.01,2500,full
0.085449,100,0.024,16.63,9.376,29.549,0.61,0.0,0.01,2500,full
0.140949,100,0.024,29.074,18.316,41.192,0.97,0.0,0.01,2500,full
0.193621,100,0.024,33.631,22.213,46.361,1.0,0.01,0.01,2500,full
0.242568,100,0.024,32.216,22.939,43.523,1.0,0.01,0.01,2500,full
0.287108,100,0.024,31.38,23.077,39.946,1.0,0.0,0.01,2500,full
0.326793,100,0.024,31.335,24.026,39.009,1.0,0.0,0.01,2500,full
0.361418,100,0.024,29.164,22.849,37.145,1.0,0.0,0.01,2500,full
0.390998,100,0.024,28.036,21.928,35.011,1.0,0.0,0.01,2500,full
0.415743,100,0.024,26.097,19.927,33.821,1.0,0.0,0.01,2500,full
0.436013,100,0.024,23.92,18.486,31.09,1.0,0.0,0.01,2500,full
0.452271,100,0.024,22.966,17.603,28.629,1.0,0.0,0.01,2500,full
0.46504,100,0.024,21.752,16.877,26.153,0.99,0.0,0.01,2500,full
0.47486,100,0.024,20.642,15.994,25.95,0.98,0.0,0.01,2500,full
0.482255,100,0.024,19.86,15.809,24.68,0.97,0.0,0.01,2500,full
0.487707,100,0.024,19.499,15.219,24.581,0.96,0.0,0.01,2500,full
0.491644,100,0.024,19.284,15.219,23.88,0.96,0.0,0.01,2500,full
0.494428,100,0.024,19.158,15.219,23.88,0.96,0.0,0.01,2500,full
0.496355,100,0.024,19.115,15.219,23.88,0.97,0.0,0.01,2500,full
0.497661,100,0.024,19.069,15.219,22.215,0.97,0.0,0.01,2500,full
