arm,delta_e,n,p0_hat_median,s_max_median,s_max_q05,s_max_q95,cross_rate_lambda15,cross_rate_lambda50,delta_p,window
full,0.028186,100,0.024,5.11,3.128,8.934,0.0,0.0,0.01,2500
full,0.085449,100,0.024,16.63,9.376,29.549,0.61,0.0,0.01,2500
full,0.140949,100,0.024,29.074,18.316,41.192,0.97,0.0,0.01,2500
full,0.193621,100,0.024,33.631,22.213,46.361,1.0,0.01,0.01,2500
full,0.242568,100,0.024,32.216,22.939,43.523,1.0,0.01,0.01,2500
full,0.287108,100,0.024,31.38,23.077,39.946,1.0,0.0,0.01,2500
full,0.326793,100,0.024,31.335,24.026,39.009,1.0,0.0,0.01,2500
full,0.361418,100,0.024,29.164,22.849,37.145,1.0,0.0,0.01,2500
full,0.390998,100,0.024,28.036,21.928,35.011,1.0,0.0,0.01,2500
full,0.415743,100,0.024,26.097,19.927,33.821,1.0,0.0,0.01,2500
full,0.436013,100,0.024,23.92,18.486,31.09,1.0,0.0,0.01,2500
full,0.452271,100,0.024,22.966,17.603,28.629,1.0,0.0,0.01,2500
full,0.46504,100,0.024,21.752,16.877,26.153,0.99,0.0,0.01,2500
full,0.47486,100,0.024,20.642,15.994,25.95,0.98,0.0,0.01,2500
full,0.482255,100,0.024,19.86,15.809,24.68,0.97,0.0,0.01,2500
full,0.487707,100,0.024,19.499,15.219,24.581,0.96,0.0,0.01,2500
full,0.491644,100,0.024,19.284,15.219,23.88,0.96,0.0,0.01,2500
full,0.494428,100,0.024,19.158,15.219,23.88,0.96,0.0,0.01,2500
full,0.496355,100,0.024,19.115,15.219,23.88,0.97,0.0,0.01,2500
full,0.497661,100,0.024,19.069,15.219,22.215,0.97,0.0,0.01,2500
no_swap,0.028186,100,0.024,4.275,2.449,8.499,0.0,0.0,0.01,2500
no_swap,0.085449,100,0.024,16.473,9.173,28.518,0.6,0.0,0.01,2500
no_swap,0.140949,100,0.024,29.25,17.402,42.594,0.97,0.0,0.01,2500
no_swap,0.193621,100,0.024,35.092,22.237,48.972,1.0,0.04,0.01,2500
no_swap,0.242568,100,0.024,37.635,25.189,55.431,1.0,0.12,0.01,2500
no_swap,0.287108,100,0.024,39.465,25.842,57.786,1.0,0.13,0.01,2500
no_swap,0.326793,100,0.024,41.068,27.63,56.977,1.0,0.18,0.01,2500
no_swap,0.361418,100,0.024,42.056,26.897,58.327,1.0,0.23,0.01,2500
no_swap,0.390998,100,0.024,42.399,28.035,63.105,1.0,0.22,0.01,2500
no_swap,0.415743,100,0.024,41.96,27.832,59.734,1.0,0.19,0.01,2500
no_swap,0.436013,100,0.024,40.433,26.034,62.53,1.0,0.2,0.01,2500
no_swap,0.452271,100,0.024,40.717,24.69,59.163,1.0,0.19,0.01,2500
no_swap,0.46504,100,0.024,40.255,25.617,57.455,1.0,0.15,0.01,2500
no_swap,0.47486,100,0.024,39.177,24.093,54.481,1.0,0.13,0.01,2500
no_swap,0.482255,100,0.024,37.917,23.925,53.983,1.0,0.12,0.01,2500
no_swap,0.487707,100,0.024,37.305,23.937,54.93,1.0,0.08,0.01,2500
no_swap,0.491644,100,0.024,36.073,22.969,55.733,1.0,0.1,0.01,2500
no_swap,0.494428,100,0.024,35.813,23.449,55.891,1.0,0.08,0.01,2500
no_swap,0.496355,100,0.024,35.257,23.449,52.479,1.0,0.08,0.01,2500
no_swap,0.497661,100,0.024,35.257,23.419,51.308,1.0,0.07,0.01,2500
frozen,0.028186,100,0.024,8.438,4.395,32.565,0.23,0.0,0.01,2500
frozen,0.085449,100,0.024,37.88,13.584,148.107,0.9,0.41,0.01,2500
frozen,0.140949,100,0.024,97.377,21.803,239.707,0.98,0.69,0.01,2500
frozen,0.193621,100,0.024,229.616,48.452,383.17,1.0,0.94,0.01,2500
frozen,0.242568,100,0.024,386.092,131.705,516.89,1.0,0.97,0.01,2500
frozen,0.287108,100,0.024,541.847,282.156,635.165,1.0,1.0,0.01,2500
frozen,0.326793,100,0.024,650.085,401.004,745.217,1.0,1.0,0.01,2500
frozen,0.361418,100,0.024,743.513,509.897,830.439,1.0,1.0,0.01,2500
frozen,0.390998,100,0.024,824.893,609.666,896.439,1.0,1.0,0.01,2500
frozen,0.415743,100,0.024,896.863,645.524,968.146,1.0,1.0,0.01,2500
frozen,0.436013,100,0.024,954.041,743.669,1021.079,1.0,1.0,0.01,2500
frozen,0.452271,100,0.024,998.563,806.291,1059.396,1.0,1.0,0.01,2500
frozen,0.46504,100,0.024,1035.851,865.958,1086.664,1.0,1.0,0.01,2500
frozen,0.47486,100,0.024,1063.648,900.602,1113.073,1.0,1.0,0.01,2500
frozen,0.482255,100,0.024,1078.263,920.061,1132.178,1.0,1.0,0.01,2500
frozen,0.487707,100,0.024,1094.058,935.494,1145.341,1.0,1.0,0.01,2500
frozen,0.491644,100,0.024,1105.287,945.544,1155.141,1.0,1.0,0.01,2500
frozen,0.494428,100,0.024,1111.018,959.013,1166.638,1.0,1.0,0.01,2500
frozen,0.496355,100,0.024,1118.034,962.013,1169.788,1.0,1.0,0.01,2500
frozen,0.497661,100,0.024,1122.048,966.063,1173.155,1.0,1.0,0.01,2500
