delta_e,arm,n,n_cross,median_s_max,median_p0_hat
0.028186,frozen,100,0,8.437500000000021,0.024
0.028186,frozen_ab_initio,100,5,15.607000000000333,0.024
0.028186,full,100,0,5.11000000000002,0.024
0.028186,no_swap,100,0,4.275,0.024
0.028186,no_swap_ab_initio,100,0,4.261499999999987,0.024
0.085449,frozen,100,41,37.87999999999958,0.024
0.085449,frozen_ab_initio,100,100,148.187499999995,0.024
0.085449,full,100,0,16.62999999999959,0.024
0.085449,no_swap,100,0,16.472999999999764,0.024
0.085449,no_swap_ab_initio,100,0,16.977999999999753,0.024
0.140949,frozen,100,69,97.37749999999613,0.024
0.140949,frozen_ab_initio,100,100,282.16750000000434,0.024
0.140949,full,100,0,29.073999999999884,0.024
0.140949,no_swap,100,0,29.250499999999928,0.024
0.140949,no_swap_ab_initio,100,1,30.354999999999762,0.024
0.193621,frozen,100,94,229.61599999999424,0.024
0.193621,frozen_ab_initio,100,100,412.37100000001726,0.024
0.193621,full,100,1,33.631499999999605,0.024
0.193621,no_swap,100,4,35.092499999999774,0.024
0.193621,no_swap_ab_initio,100,14,38.21300000000066,0.024
0.242568,frozen,100,97,386.0924999999959,0.024
0.242568,frozen_ab_initio,100,100,533.3319999999994,0.024
0.242568,full,100,1,32.216000000000506,0.024
0.242568,no_swap,100,12,37.63450000000118,0.024
0.242568,no_swap_ab_initio,100,28,43.05550000000095,0.024
0.287108,frozen,100,100,541.8470000000252,0.024
0.287108,frozen_ab_initio,100,100,648.0440000000169,0.024
0.287108,full,100,0,31.38049999999984,0.024
0.287108,no_swap,100,13,39.465000000000444,0.024
0.287108,no_swap_ab_initio,100,36,47.227999999999554,0.024
0.326793,frozen,100,100,650.085000000015,0.024
0.326793,frozen_ab_initio,100,100,744.2200000000116,0.024
0.326793,full,100,0,31.33499999999973,0.024
0.326793,no_swap,100,18,41.06800000000001,0.024
0.326793,no_swap_ab_initio,100,49,49.44600000000018,0.024
0.361418,frozen,100,100,743.5130000000003,0.024
0.361418,frozen_ab_initio,100,100,833.6029999999782,0.024
0.361418,full,100,0,29.163999999999735,0.024
0.361418,no_swap,100,23,42.055500000000634,0.024
0.361418,no_swap_ab_initio,100,53,50.972500000000444,0.024
0.390998,frozen,100,100,824.8930000000119,0.024
0.390998,frozen_ab_initio,100,100,903.8164999999967,0.024
0.390998,full,100,0,28.035500000000084,0.024
0.390998,no_swap,100,22,42.39900000000025,0.024
0.390998,no_swap_ab_initio,100,55,51.82100000000173,0.024
0.415743,frozen,100,100,896.863000000037,0.024
0.415743,frozen_ab_initio,100,100,964.8424999999673,0.024
0.415743,full,100,0,26.096500000000905,0.024
0.415743,no_swap,100,19,41.959999999999866,0.024
0.415743,no_swap_ab_initio,100,54,51.61399999999975,0.024
0.436013,frozen,100,100,954.0409999999567,0.024
0.436013,frozen_ab_initio,100,100,1016.5690000000006,0.024
0.436013,full,100,0,23.9199999999999,0.024
0.436013,no_swap,100,20,40.432999999999566,0.024
0.436013,no_swap_ab_initio,100,59,52.639999999999354,0.024
0.452271,frozen,100,100,998.5625000000073,0.024
0.452271,frozen_ab_initio,100,100,1058.5379999999952,0.024
0.452271,full,100,0,22.9665,0.024
0.452271,no_swap,100,19,40.717499999999994,0.024
0.452271,no_swap_ab_initio,100,56,51.916999999999945,0.024
0.46504,frozen,100,100,1035.851000000007,0.024
0.46504,frozen_ab_initio,100,100,1091.8055000000404,0.024
0.46504,full,100,0,21.752000000000017,0.024
0.46504,no_swap,100,15,40.25500000000045,0.024
0.46504,no_swap_ab_initio,100,56,50.65149999999997,0.024
0.47486,frozen,100,100,1063.6484999999848,0.024
0.47486,frozen_ab_initio,100,100,1113.268000000056,0.024
0.47486,full,100,0,20.642000000000024,0.024
0.47486,no_swap,100,13,39.177000000000554,0.024
0.47486,no_swap_ab_initio,100,58,51.63449999999993,0.024
0.482255,frozen,100,100,1078.2625000000294,0.024
0.482255,frozen_ab_initio,100,100,1132.3610000000265,0.024
0.482255,full,100,0,19.86,0.024
0.482255,no_swap,100,12,37.91700000000033,0.024
0.482255,no_swap_ab_initio,100,52,50.780999999999665,0.024
0.487707,frozen,100,100,1094.0580000000007,0.024
0.487707,frozen_ab_initio,100,100,1148.0855000000165,0.024
0.487707,full,100,0,19.498999999999985,0.024
0.487707,no_swap,100,8,37.30500000000039,0.024
0.487707,no_swap_ab_initio,100,53,50.1384999999996,0.024
0.491644,frozen,100,100,1105.2869999999982,0.024
0.491644,frozen_ab_initio,100,100,1157.3035000000077,0.024
0.491644,full,100,0,19.283999999999992,0.024
0.491644,no_swap,100,10,36.073000000000064,0.024
0.491644,no_swap_ab_initio,100,53,50.39700000000019,0.024
0.494428,frozen,100,100,1111.0180000000419,0.024
0.494428,frozen_ab_initio,100,100,1162.8295000000403,0.024
0.494428,full,100,0,19.158499999999997,0.024
0.494428,no_swap,100,8,35.81300000000005,0.024
0.494428,no_swap_ab_initio,100,51,50.29700000000054,0.024
0.496355,frozen,100,100,1118.0340000000122,0.024
0.496355,frozen_ab_initio,100,100,1169.8035000000068,0.024
0.496355,full,100,0,19.115000000000002,0.024
0.496355,no_swap,100,8,35.257000000000126,0.024
0.496355,no_swap_ab_initio,100,48,48.78700000000035,0.024
0.497661,frozen,100,100,1122.0480000000066,0.024
0.497661,frozen_ab_initio,100,100,1172.3075000000342,0.024
0.497661,full,100,0,19.069000000000003,0.024
0.497661,no_swap,100,7,35.257000000000126,0.024
0.497661,no_swap_ab_initio,100,44,48.16899999999992,0.024
