axis,pipeline,delta_e,n,median_e_pre,median_delta_e_emp,median_lambda_eq,median_lambda_eq_pht,median_tau_swap,median_tau_erase,median_a,verdict_mode,miss_rate_lambda50,miss_rate_lambda25,miss_rate_lambda_eq,miss_rate_before_erase_lambda_eq
ensemble,ENS_ADWINBagging,0.028186,30,0.089,0.0025000000000000022,5.929000362753868,8.712799772620201,,104.5,3.0620000000000034,OK,1.0,0.9666666666666667,0.36666666666666664,0.6333333333333333
ensemble,ENS_ADWINBagging,0.140949,30,0.089,0.068,5.929000362753868,8.712799772620201,,616.0,25.31900000000003,OK,0.9333333333333333,0.43333333333333335,0.0,0.0
ensemble,ENS_ADWINBagging,0.242568,30,0.089,0.158,5.929000362753868,8.712799772620201,,726.0,59.77799999999904,OK,0.3333333333333333,0.0,0.0,0.0
ensemble,ENS_ADWINBagging,0.326793,30,0.089,0.2475,5.929000362753868,8.712799772620201,,1571.5,106.41699999999551,OK,0.0,0.0,0.0,0.0
ensemble,ENS_ADWINBagging,0.415743,30,0.089,0.3325,5.929000362753868,8.712799772620201,,1400.5,156.85849999999834,OK,0.0,0.0,0.0,0.0
ensemble,ENS_ADWINBagging,0.452271,30,0.089,0.3625,5.929000362753868,8.712799772620201,,1261.5,173.75949999999668,OK,0.0,0.0,0.0,0.0
ensemble,ENS_HAT,0.028186,30,0.112,0.0005000000000000004,5.7995080053806305,8.631825223565102,,76.5,2.941499999999997,OK,1.0,1.0,0.16666666666666666,0.5
ensemble,ENS_HAT,0.140949,30,0.112,0.075,5.7995080053806305,8.631825223565102,,1139.0,43.89599999999923,OK,0.5333333333333333,0.13333333333333333,0.0,0.0
ensemble,ENS_HAT,0.242568,30,0.112,0.17000000000000004,5.7995080053806305,8.631825223565102,,1273.0,94.78000000000381,OK,0.26666666666666666,0.0,0.0,0.0
ensemble,ENS_HAT,0.326793,30,0.112,0.22450000000000003,5.7995080053806305,8.631825223565102,,1033.0,121.1430000000038,OK,0.13333333333333333,0.0,0.0,0.0
ensemble,ENS_HAT,0.415743,30,0.112,0.2755,5.7995080053806305,8.631825223565102,,771.0,79.62750000000148,OK,0.06666666666666667,0.0,0.0,0.0
