delta_e,n,fa_rate_lambda50,fa_rate_lambda25,fa_rate_lambda8,fa_rate_lambda4,fa_rate_lambda2,fa_rate_lambda1,miss_rate_lambda50,miss_rate_lambda25,miss_rate_lambda8,miss_rate_lambda4,miss_rate_lambda2,miss_rate_lambda1
0.028186,100,0.0,0.0,0.18,0.96,1.0,1.0,1.0,0.91,0.26,0.0,0.0,0.0
0.085449,100,0.0,0.0,0.18,0.96,1.0,1.0,0.72,0.18,0.01,0.0,0.0,0.0
0.140949,100,0.0,0.0,0.18,0.96,1.0,1.0,0.37,0.0,0.0,0.0,0.0,0.0
0.193621,100,0.0,0.0,0.18,0.96,1.0,1.0,0.58,0.0,0.0,0.0,0.0,0.0
0.242568,100,0.0,0.0,0.18,0.96,1.0,1.0,0.77,0.0,0.0,0.0,0.0,0.0
0.287108,100,0.0,0.0,0.18,0.96,1.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0
0.326793,100,0.0,0.0,0.18,0.96,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0
0.361418,100,0.0,0.0,0.18,0.96,1.0,1.0,0.47,0.0,0.0,0.0,0.0,0.0
0.390998,100,0.0,0.0,0.18,0.96,1.0,1.0,0.37,0.0,0.0,0.0,0.0,0.0
0.415743,100,0.0,0.0,0.18,0.96,1.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0
0.436013,100,0.0,0.0,0.18,0.96,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0
0.452271,100,0.0,0.0,0.18,0.96,1.0,1.0,0.36,0.0,0.0,0.0,0.0,0.0
0.46504,100,0.0,0.0,0.18,0.96,1.0,1.0,0.38,0.0,0.0,0.0,0.0,0.0
0.47486,100,0.0,0.0,0.18,0.96,1.0,1.0,0.41,0.0,0.0,0.0,0.0,0.0
0.482255,100,0.0,0.0,0.18,0.96,1.0,1.0,0.43,0.0,0.0,0.0,0.0,0.0
0.487707,100,0.0,0.0,0.18,0.96,1.0,1.0,0.38,0.0,0.0,0.0,0.0,0.0
0.491644,100,0.0,0.0,0.18,0.96,1.0,1.0,0.39,0.0,0.0,0.0,0.0,0.0
0.494428,100,0.0,0.0,0.18,0.96,1.0,1.0,0.44,0.0,0.0,0.0,0.0,0.0
0.496355,100,0.0,0.0,0.18,0.96,1.0,1.0,0.41,0.0,0.0,0.0,0.0,0.0
0.497661,100,0.0,0.0,0.18,0.96,1.0,1.0,0.42,0.0,0.0,0.0,0.0,0.0
