delta_e,old_median_tau_arf,old_miss_rate_lambda50,new_median_tau_swap,new_miss_rate_lambda50,delta_tau,delta_miss_rate,old_R7_miss_A_mismatched,old_R7_miss_B_matched,old_R7_miss_C_decoupled,canonical_miss_rate_lambda50_same_pipeline,delta_miss_rate_same_pipeline
0.028186,113.5,1.0,377.0,1.0,263.5,0.0,0.99,0.99,1.0,1.0,0.0
0.085449,410.0,1.0,1051.5,0.72,641.5,-0.28,0.89,0.87,0.85,1.0,-0.28
0.140949,269.5,0.99,443.0,0.37,173.5,-0.62,0.4,0.31,0.26,1.0,-0.63
0.193621,143.0,0.97,165.0,0.58,22.0,-0.39,0.27,0.11,0.09,0.99,-0.41000000000000003
0.242568,88.0,1.0,101.5,0.77,13.5,-0.22999999999999998,0.33,0.06,0.07,0.99,-0.21999999999999997
0.287108,67.5,1.0,80.5,0.7,13.0,-0.30000000000000004,0.45,0.04,0.05,1.0,-0.30000000000000004
0.326793,52.5,0.99,62.0,0.6,9.5,-0.39,0.52,0.04,0.04,1.0,-0.4
0.361418,46.0,1.0,52.0,0.47,6.0,-0.53,0.59,0.04,0.04,1.0,-0.53
0.390998,41.0,1.0,45.5,0.37,4.5,-0.63,0.56,0.03,0.03,1.0,-0.63
0.415743,36.5,1.0,42.0,0.33,5.5,-0.6699999999999999,0.51,0.03,0.04,1.0,-0.6699999999999999
0.436013,35.0,1.0,40.0,0.4,5.0,-0.6,0.53,0.03,0.03,1.0,-0.6
0.452271,32.5,1.0,37.0,0.36,4.5,-0.64,0.58,0.02,0.03,1.0,-0.64
0.46504,31.0,1.0,36.0,0.38,5.0,-0.62,0.62,0.02,0.03,1.0,-0.62
0.47486,30.0,1.0,36.0,0.41,6.0,-0.5900000000000001,0.66,0.01,0.03,1.0,-0.5900000000000001
0.482255,29.0,1.0,36.0,0.43,7.0,-0.5700000000000001,0.72,0.01,0.03,1.0,-0.5700000000000001
0.487707,28.0,1.0,35.0,0.38,7.0,-0.62,0.7,0.02,0.03,1.0,-0.62
0.491644,28.0,1.0,34.0,0.39,6.0,-0.61,0.69,0.02,0.03,1.0,-0.61
0.494428,28.0,1.0,34.0,0.44,6.0,-0.56,0.69,0.02,0.03,1.0,-0.56
0.496355,28.0,1.0,34.0,0.41,6.0,-0.5900000000000001,0.69,0.02,0.03,1.0,-0.5900000000000001
0.497661,28.0,1.0,34.0,0.42,6.0,-0.5800000000000001,0.69,0.02,0.03,1.0,-0.5800000000000001
