delta_e,n_seeds,censored_frac_hat,censored_frac_arf,rmst_hat,rmst_arf,rmst_ratio,rmst_ratio_ci_lo,rmst_ratio_ci_hi,median_hat,median_arf,median_ratio,complete_case_hat,complete_case_arf,complete_case_ratio,complete_case_ci_lo,complete_case_ci_hi,rmst_identity_dev
0.028186,100,0.03,0.0,1377.84,171.38,8.0397,6.5077,9.9755,1170.0,113.0,10.354,1296.7423,171.38,7.5665,6.1146,9.4583,6.821210263296962e-13
0.085449,100,0.13,0.0,2057.44,428.13,4.8056,4.0512,5.7319,1877.0,402.0,4.6692,1767.1724,428.13,4.1277,3.4828,4.8908,9.094947017729282e-13
0.140949,100,0.01,0.0,1526.63,370.77,4.1175,3.4486,4.9588,1432.0,269.0,5.3234,1501.6465,370.77,4.0501,3.3995,4.8708,9.094947017729282e-13
0.193621,100,0.0,0.0,1108.59,192.29,5.7652,4.5296,7.3637,1083.0,143.0,7.5734,1108.59,192.29,5.7652,4.5296,7.3637,4.547473508864641e-13
0.242568,100,0.0,0.0,799.21,102.95,7.7631,6.351,9.4196,778.0,88.0,8.8409,799.21,102.95,7.7631,6.351,9.4196,3.410605131648481e-13
0.287108,100,0.0,0.0,561.67,74.74,7.515,6.198,8.9304,441.0,67.0,6.5821,561.67,74.74,7.515,6.198,8.9304,3.410605131648481e-13
0.326793,100,0.0,0.0,463.15,57.96,7.9909,6.3996,9.719,161.0,52.0,3.0962,463.15,57.96,7.9909,6.3996,9.719,2.2737367544323206e-13
0.361418,100,0.0,0.0,383.33,48.18,7.9562,6.3079,9.723,104.0,46.0,2.2609,383.33,48.18,7.9562,6.3079,9.723,2.2737367544323206e-13
0.390998,100,0.0,0.0,319.9,43.2,7.4051,5.3805,9.8163,87.0,41.0,2.122,319.9,43.2,7.4051,5.3805,9.8163,1.1368683772161603e-13
0.415743,100,0.0,0.0,256.83,39.71,6.4676,4.7104,8.5013,83.0,36.0,2.3056,256.83,39.71,6.4676,4.7104,8.5013,1.1368683772161603e-13
0.436013,100,0.01,0.0,254.64,36.74,6.9309,4.3377,10.3092,64.0,35.0,1.8286,216.8081,36.74,5.9011,3.9921,8.3579,2.842170943040401e-14
0.452271,100,0.0,0.0,203.86,35.05,5.8163,4.0078,8.0646,64.0,33.0,1.9394,203.86,35.05,5.8163,4.0078,8.0646,8.526512829121202e-14
0.46504,100,0.0,0.0,183.4,33.76,5.4325,3.8199,7.5048,57.0,31.0,1.8387,183.4,33.76,5.4325,3.8199,7.5048,2.842170943040401e-14
0.47486,100,0.0,0.0,170.38,32.41,5.257,3.7901,7.1447,53.0,30.0,1.7667,170.38,32.41,5.257,3.7901,7.1447,5.684341886080802e-14
0.482255,100,0.0,0.0,153.34,31.58,4.8556,3.5937,6.3776,53.0,29.0,1.8276,153.34,31.58,4.8556,3.5937,6.3776,8.526512829121202e-14
0.487707,100,0.0,0.0,148.9,31.08,4.7909,3.6708,6.1013,52.0,28.0,1.8571,148.9,31.08,4.7909,3.6708,6.1013,1.1368683772161603e-13
0.491644,100,0.0,0.0,154.6,30.89,5.0049,3.6535,6.7668,51.0,28.0,1.8214,154.6,30.89,5.0049,3.6535,6.7668,2.842170943040401e-14
0.494428,100,0.0,0.0,148.51,30.55,4.8612,3.5832,6.4654,51.0,28.0,1.8214,148.51,30.55,4.8612,3.5832,6.4654,3.552713678800501e-15
0.496355,100,0.0,0.0,154.83,30.46,5.0831,3.7389,6.631,50.0,28.0,1.7857,154.83,30.46,5.0831,3.7389,6.631,0.0
0.497661,100,0.0,0.0,141.29,30.39,4.6492,3.5926,5.7956,50.0,28.0,1.7857,141.29,30.39,4.6492,3.5926,5.7956,3.552713678800501e-15
