Calibration,Detector,Clock,Dataset,w,F1,ADD,Seed
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,1
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,1
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,1
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,1
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,1
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,1
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,1
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,1
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,1
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,1
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,1
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,1
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,2
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,2
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,2
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,2
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,2
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,2
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,2
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,2
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,2
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,2
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,2
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,2
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,3
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,3
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,3
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,3
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,3
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,3
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,3
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,3
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,3
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,3
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,3
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,3
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,4
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,4
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,4
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,4
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,4
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,4
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,4
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,4
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,4
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,4
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,4
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,4
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,5
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,5
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,5
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,5
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,5
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,5
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,5
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,5
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,5
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,5
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,5
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,5
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,6
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,6
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,6
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,6
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,6
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,6
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,6
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,6
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,6
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,6
Cal. B,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,6
Cal. B,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,6
IID,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,7
IID,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,7
IID,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,7
IID,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,7
Cal. A,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,7
Cal. A,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,7
Cal. A,KSWIN_a_0.01,1,SPY->PFF,500,1.0,13.0,7
Cal. A,KSWIN_a_0.05,1,SPY->PFF,500,1.0,11.0,7
Cal. B,KSWIN_a_0.001,1,SPY->PFF,500,1.0,15.0,7
Cal. B,KSWIN_a_0.005,1,SPY->PFF,500,1.0,14.0,7
